sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
34510550079,2021-11-10T06:03:30Z,89,21,22,46,56,60,0.08105147864184009
34510550078,2021-11-09T06:09:30Z,88,21,21,46,73,60,0.09144542772861357
34469862860,2021-11-08T06:13:30Z,89,21,21,47,48,60,0.09595959595959595
34457668638,2021-11-07T07:07:00Z,77,18,17,42,41,57,0.07806691449814127
34457668637,2021-11-06T07:02:00Z,81,19,20,42,44,57,0.09523809523809523
34457668636,2021-11-05T06:47:30Z,70,16,20,34,28,57,0.1032258064516129
34457668635,2021-11-04T06:22:00Z,80,18,20,42,55,57,0.07981755986316989
34457668634,2021-11-03T06:26:30Z,80,19,20,41,52,58,0.09130913091309131
34457668633,2021-11-02T06:36:00Z,80,19,15,46,73,57,0.08947368421052632
34457668632,2021-11-01T06:16:00Z,80,21,20,39,39,57,0.12045169385194479
34371692162,2021-10-31T07:53:30Z,86,21,20,45,64,56,0.0878438331854481
34371692161,2021-10-30T04:49:30Z,61,16,13,32,45,56,0.07430997876857749
34371692160,2021-10-29T06:48:30Z,81,21,21,39,45,57,0.09320905459387484
34334490531,2021-10-28T07:13:30Z,85,19,21,45,64,55,0.07692307692307693
34322119732,2021-10-27T06:10:30Z,89,21,22,46,53,57,0.09261186264308012
34316410386,2021-10-26T06:30:30Z,74,15,20,39,25,58,0.15142276422764228
34299032140,2021-10-25T06:41:30Z,83,17,21,45,24,59,0.07966260543580131
34299032137,2021-10-23T06:33:00Z,84,21,21,42,53,58,0.0931899641577061
34262787797,2021-10-22T07:02:30Z,82,18,22,42,34,59,0.08788598574821853
34251022580,2021-10-21T07:01:30Z,84,21,22,41,67,61,0.08769931662870159
34240708320,2021-10-20T06:17:30Z,79,18,21,40,46,60,0.10562571756601608
34233956106,2021-10-19T06:21:30Z,83,21,21,41,53,60,0.08983957219251337
34233956105,2021-10-18T06:21:30Z,83,19,19,45,57,60,0.11921182266009853
34200995798,2021-10-17T07:32:00Z,86,19,21,46,38,59,0.09235352532274081
34200995797,2021-10-16T07:39:30Z,71,19,12,40,74,58,0.12067039106145251
34200995796,2021-10-15T07:26:00Z,88,19,22,47,32,58,0.07492195629552549
34165992772,2021-10-14T07:24:00Z,88,21,20,47,61,57,0.0972972972972973
34165992771,2021-10-13T07:08:00Z,90,21,22,47,66,57,0.06681766704416761
34165992769,2021-10-12T07:24:30Z,81,19,22,40,33,57,0.0779874213836478
34165992768,2021-10-11T07:14:00Z,87,19,22,46,49,58,0.078125
34165992766,2021-10-08T07:41:00Z,83,21,23,39,58,58,0.07412790697674419
34050700609,2021-10-05T07:17:30Z,79,17,22,40,48,59,0.10121012101210121
34036977144,2021-10-04T07:19:30Z,86,21,20,45,51,59,0.09523809523809523
34028907008,2021-10-03T07:04:30Z,83,21,20,42,54,58,0.07386990077177508
33998853724,2021-10-01T07:33:30Z,87,20,21,46,65,57,0.09055501460564752
33988605381,2021-09-30T07:03:30Z,85,21,22,42,51,57,0.07760532150776053
33988605380,2021-09-29T07:37:30Z,88,21,22,45,58,57,0.07723169508525576
33959319520,2021-09-28T07:07:30Z,88,19,23,46,48,60,0.09025641025641026
33959319519,2021-09-27T07:09:00Z,81,18,21,42,15,60,0.09050279329608939
33959319517,2021-09-26T07:44:30Z,84,20,21,43,46,60,0.06945975744211687
33851034237,2021-09-20T06:54:30Z,80,18,21,41,35,61,0.09924487594390508
33829414502,2021-09-18T09:44:00Z,72,20,13,39,94,59,0.12527233115468409
33816688217,2021-09-17T08:07:00Z,89,21,22,46,67,59,0.0819327731092437
33803343484,2021-09-16T07:49:00Z,90,21,23,46,52,60,0.06571741511500548
33790636285,2021-09-15T07:06:00Z,83,20,21,42,48,60,0.104
33775496761,2021-09-14T07:08:30Z,84,20,22,42,43,60,0.06916764361078546
33761694434,2021-09-13T06:59:30Z,80,16,21,43,16,61,0.09595375722543352
33749837953,2021-09-12T07:42:30Z,84,21,18,45,65,59,0.10871602624179943
33737741391,2021-09-11T07:15:30Z,86,22,22,42,92,58,0.061068702290076333
33726480555,2021-09-10T07:13:30Z,79,19,20,40,74,57,0.101159114857745
33713183546,2021-09-09T06:51:00Z,89,21,21,47,44,56,0.08021390374331551
33713183545,2021-09-08T03:52:30Z,66,18,13,35,56,55,0.07370184254606366
33648732763,2021-09-04T07:52:00Z,69,16,20,33,33,57,0.1349112426035503
33621739124,2021-09-02T05:19:30Z,76,18,19,39,76,57,0.08455467869222097
33608241921,2021-09-01T06:10:30Z,84,18,20,46,62,56,0.08826583592938733
33591441749,2021-08-31T06:14:30Z,77,19,21,37,18,56,0.094316807738815
33578423629,2021-08-30T06:30:30Z,89,21,22,46,61,58,0.08565928777670838
33566473960,2021-08-29T06:32:30Z,74,17,20,37,67,57,0.11783783783783784
33555524526,2021-08-28T06:26:30Z,78,19,22,37,31,58,0.07053941908713693
33542091620,2021-08-27T05:28:30Z,88,20,22,46,85,58,0.08835758835758836
33453931290,2021-08-20T06:00:00Z,89,20,23,46,33,58,0.0617678381256656
33437848527,2021-08-19T05:24:30Z,88,21,20,47,47,57,0.05951115834218916
33426542462,2021-08-18T04:57:00Z,84,21,21,42,56,56,0.06835722160970231
33412173627,2021-08-17T04:25:30Z,84,21,21,42,48,56,0.09378531073446328
33403421172,2021-08-16T05:36:00Z,85,17,23,45,47,58,0.07216494845360824
33388311781,2021-08-15T06:12:30Z,80,19,20,41,72,58,0.08096740273396424
