timestamp,bucket_values
2021-01-01T08:35:30,"[0.0, 0.0, 0.001, 0.004, 0.006, 0.008, 0.022, 0.108, 0.314, 0.332, 0.126, 0.043, 0.02, 0.008, 0.003, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-02T07:35:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.004, 0.008, 0.011, 0.034, 0.067, 0.107, 0.168, 0.235, 0.184, 0.095, 0.045, 0.022, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-03T07:02:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.005, 0.006, 0.006, 0.013, 0.039, 0.081, 0.151, 0.219, 0.203, 0.132, 0.078, 0.038, 0.016, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-04T06:52:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.004, 0.006, 0.014, 0.047, 0.122, 0.247, 0.23, 0.164, 0.097, 0.041, 0.014, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-05T07:14:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.006, 0.012, 0.031, 0.067, 0.131, 0.218, 0.231, 0.154, 0.087, 0.038, 0.013, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-06T07:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.005, 0.005, 0.01, 0.037, 0.111, 0.228, 0.266, 0.197, 0.086, 0.033, 0.012, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-07T06:45:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.004, 0.004, 0.011, 0.039, 0.102, 0.141, 0.208, 0.267, 0.15, 0.047, 0.014, 0.004, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-08T06:58:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.005, 0.016, 0.025, 0.035, 0.064, 0.15, 0.26, 0.186, 0.126, 0.071, 0.031, 0.015, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-09T07:36:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.007, 0.007, 0.022, 0.08, 0.141, 0.169, 0.169, 0.15, 0.111, 0.07, 0.037, 0.016, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-01-10T07:03:00,"[0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.003, 0.007, 0.014, 0.029, 0.051, 0.106, 0.171, 0.193, 0.194, 0.13, 0.057, 0.021, 0.009, 0.003, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
