timestamp,average_value,lower_bound,upper_bound
2021-03-23T00:00:00Z,96.9,95.0,98.4
2021-03-24T00:00:00Z,96.8,95.5,98.2
2021-03-25T00:00:00Z,95.7,94.9,96.6
2021-03-26T00:00:00Z,97.1,95.9,98.2
2021-03-27T00:00:00Z,96.5,95.7,97.2
2021-03-28T00:00:00Z,97.0,94.5,98.8
2021-03-29T00:00:00Z,96.6,95.2,97.8
2021-03-30T00:00:00Z,96.8,95.7,97.9
2021-03-31T00:00:00Z,96.4,95.0,97.6
2021-04-01T00:00:00Z,97.5,95.7,99.1
2021-04-02T00:00:00Z,97.7,96.6,99.9
2021-04-03T00:00:00Z,95.6,93.6,97.0
2021-04-04T00:00:00Z,96.8,95.7,97.9
2021-04-05T00:00:00Z,97.3,96.1,98.5
2021-04-06T00:00:00Z,96.2,95.2,98.2
2021-04-07T00:00:00Z,95.0,94.1,96.1
2021-04-08T00:00:00Z,95.5,93.7,97.2
2021-04-09T00:00:00Z,97.1,95.2,99.2
2021-04-10T00:00:00Z,96.6,95.1,97.8
2021-04-11T00:00:00Z,95.0,92.8,97.4
2021-04-12T00:00:00Z,97.2,95.7,99.0
2021-04-13T00:00:00Z,97.6,97.0,98.7
2021-04-14T00:00:00Z,97.2,95.9,98.1
2021-04-15T00:00:00Z,97.1,94.2,99.3
2021-04-16T00:00:00Z,96.9,96.0,97.7
2021-04-17T00:00:00Z,96.9,95.9,97.8
2021-04-18T00:00:00Z,96.6,95.5,98.6
2021-04-19T00:00:00Z,96.5,92.7,99.0
2021-04-20T00:00:00Z,96.6,94.5,98.7
2021-04-21T00:00:00Z,96.1,94.7,97.8
2021-04-22T00:00:00Z,96.6,96.0,97.3
2021-04-24T00:00:00Z,97.2,95.3,99.5
2021-04-25T00:00:00Z,95.9,92.6,98.1
2021-04-26T00:00:00Z,96.1,95.2,97.3
2021-04-27T00:00:00Z,96.4,95.7,97.7
2021-04-28T00:00:00Z,97.2,94.7,100.0
2021-04-29T00:00:00Z,96.6,95.8,97.6
2021-04-30T00:00:00Z,96.6,95.1,98.6
2021-05-01T00:00:00Z,97.1,96.1,98.2
2021-05-02T00:00:00Z,96.4,95.0,98.2
2021-05-03T00:00:00Z,97.4,95.8,100.0
2021-05-04T00:00:00Z,96.3,94.1,98.4
2021-05-05T00:00:00Z,96.6,94.8,98.6
2021-05-06T00:00:00Z,97.2,96.1,98.2
2021-05-07T00:00:00Z,96.4,94.6,97.4
2021-05-08T00:00:00Z,96.0,94.9,97.9
2021-05-09T00:00:00Z,95.9,94.9,96.8
2021-05-10T00:00:00Z,97.2,95.7,98.5
2021-05-11T00:00:00Z,97.6,96.4,98.5
2021-05-12T00:00:00Z,96.8,95.8,97.3
2021-05-13T00:00:00Z,95.8,94.4,96.8
2021-05-14T00:00:00Z,96.2,93.3,98.9
2021-05-15T00:00:00Z,97.0,96.1,98.0
2021-05-16T00:00:00Z,97.7,96.7,98.8
2021-05-17T00:00:00Z,96.8,94.0,98.4
2021-05-18T00:00:00Z,97.0,95.6,98.7
2021-05-20T00:00:00Z,96.4,93.9,98.7
2021-05-21T00:00:00Z,96.3,95.5,98.3
2021-05-22T00:00:00Z,95.4,93.6,96.7
2021-05-23T00:00:00Z,95.9,92.9,98.7
2021-05-24T00:00:00Z,96.9,94.0,99.1
2021-05-25T00:00:00Z,96.8,94.4,99.3
2021-05-26T00:00:00Z,97.1,95.0,98.6
2021-05-27T00:00:00Z,95.4,93.9,97.3
2021-05-28T00:00:00Z,95.8,94.3,97.1
2021-05-29T00:00:00Z,96.2,95.1,97.4
2021-05-30T00:00:00Z,96.6,95.5,98.0
2021-05-31T00:00:00Z,96.1,93.4,98.5
2021-06-01T00:00:00Z,97.0,95.7,98.6
2021-06-02T00:00:00Z,96.0,95.0,97.1
2021-06-03T00:00:00Z,96.4,94.0,98.1
2021-06-04T00:00:00Z,96.5,94.9,97.8
2021-06-05T00:00:00Z,95.9,95.0,96.6
2021-06-06T00:00:00Z,96.4,94.2,98.6
2021-06-11T00:00:00Z,96.0,95.3,97.3
2021-06-13T00:00:00Z,97.4,96.2,98.8
2021-06-15T00:00:00Z,95.4,95.0,95.8
2021-06-16T00:00:00Z,96.0,94.2,98.5
2021-06-17T00:00:00Z,97.0,95.6,99.5
2021-06-18T00:00:00Z,97.8,96.8,98.8
2021-06-19T00:00:00Z,97.1,96.0,100.0
2021-06-20T00:00:00Z,96.3,93.9,98.6
2021-06-21T00:00:00Z,96.7,94.9,98.7
