recorded_time,temperature,sensor_type
2021-04-22T00:00,1.4997560975609758,UNKNOWN
2021-04-22T00:01,1.3997560975609744,UNKNOWN
2021-04-22T00:02,1.3997560975609744,UNKNOWN
2021-04-22T00:03,1.299756097560973,UNKNOWN
2021-04-22T00:04,1.299756097560973,UNKNOWN
2021-04-22T00:05,1.1997560975609716,UNKNOWN
2021-04-22T00:06,1.1997560975609716,UNKNOWN
2021-04-22T00:07,1.1997560975609716,UNKNOWN
2021-04-22T00:08,1.0997560975609773,UNKNOWN
2021-04-22T00:09,1.0997560975609773,UNKNOWN
2021-04-22T00:10,0.9997560975609758,UNKNOWN
2021-04-22T00:11,0.9997560975609758,UNKNOWN
2021-04-22T00:12,0.9997560975609758,UNKNOWN
2021-04-22T00:13,0.8997560975609744,UNKNOWN
2021-04-22T00:14,0.5997560975609773,UNKNOWN
2021-04-22T00:15,0.299756097560973,UNKNOWN
2021-04-22T00:16,-2.4390243902416842E-4,UNKNOWN
2021-04-22T00:17,-0.200243902439027,UNKNOWN
2021-04-22T00:18,-0.40024390243902275,UNKNOWN
2021-04-22T00:19,-0.6002439024390256,UNKNOWN
2021-04-22T00:20,-0.8002439024390249,UNKNOWN
2021-04-22T00:21,-0.9002439024390263,UNKNOWN
2021-04-22T00:22,-1.1002439024390256,UNKNOWN
2021-04-22T00:23,-1.4002439024390263,UNKNOWN
2021-04-22T00:24,-1.5002439024390242,UNKNOWN
2021-04-22T00:25,-1.6002439024390256,UNKNOWN
2021-04-22T00:26,-1.6002439024390256,UNKNOWN
2021-04-22T00:27,-1.6002439024390256,UNKNOWN
2021-04-22T00:28,-1.700243902439027,UNKNOWN
2021-04-22T00:29,-1.8002439024390249,UNKNOWN
2021-04-22T00:30,-1.700243902439027,UNKNOWN
2021-04-22T00:31,-1.6002439024390256,UNKNOWN
2021-04-22T00:32,-1.4002439024390263,UNKNOWN
2021-04-22T00:33,-1.200243902439027,UNKNOWN
2021-04-22T00:34,-1.1002439024390256,UNKNOWN
2021-04-22T00:35,-1.0002439024390242,UNKNOWN
2021-04-22T00:36,-0.9002439024390263,UNKNOWN
2021-04-22T00:37,-0.9002439024390263,UNKNOWN
2021-04-22T00:38,-0.8002439024390249,UNKNOWN
2021-04-22T00:39,-0.8002439024390249,UNKNOWN
2021-04-22T00:40,-0.700243902439027,UNKNOWN
2021-04-22T00:41,-0.6002439024390256,UNKNOWN
2021-04-22T00:42,-0.6002439024390256,UNKNOWN
2021-04-22T00:43,-0.6002439024390256,UNKNOWN
2021-04-22T00:44,-0.5002439024390242,UNKNOWN
2021-04-22T00:45,-0.40024390243902275,UNKNOWN
2021-04-22T00:46,-0.40024390243902275,UNKNOWN
2021-04-22T00:47,-0.40024390243902275,UNKNOWN
