timestamp,bucket_values
2021-02-01T07:22:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.003, 0.007, 0.018, 0.032, 0.052, 0.096, 0.15, 0.18, 0.188, 0.14, 0.072, 0.034, 0.012, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-02T04:52:00,"[0.0, 0.0, 0.0, 0.005, 0.009, 0.02, 0.083, 0.283, 0.212, 0.146, 0.113, 0.061, 0.04, 0.023, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-02T07:09:00,"[0.0, 0.0, 0.001, 0.006, 0.01, 0.022, 0.094, 0.294, 0.229, 0.138, 0.096, 0.051, 0.033, 0.019, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-03T06:13:30,"[0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.004, 0.006, 0.005, 0.01, 0.016, 0.039, 0.077, 0.142, 0.165, 0.157, 0.134, 0.097, 0.067, 0.039, 0.024, 0.009, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-04T06:00:30,"[0.0, 0.0, 0.001, 0.0, 0.001, 0.002, 0.003, 0.005, 0.005, 0.01, 0.028, 0.04, 0.064, 0.096, 0.123, 0.148, 0.134, 0.127, 0.093, 0.059, 0.035, 0.018, 0.006, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2021-02-05T07:22:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.007, 0.013, 0.061, 0.136, 0.1, 0.091, 0.142, 0.164, 0.133, 0.083, 0.042, 0.015, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-06T06:28:30,"[0.0, 0.0, 0.001, 0.004, 0.008, 0.009, 0.017, 0.068, 0.218, 0.309, 0.179, 0.119, 0.05, 0.013, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-07T07:14:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.006, 0.009, 0.025, 0.1, 0.16, 0.167, 0.164, 0.126, 0.092, 0.06, 0.04, 0.024, 0.012, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-08T06:47:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.006, 0.008, 0.043, 0.171, 0.233, 0.18, 0.124, 0.095, 0.065, 0.037, 0.018, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-09T06:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.008, 0.015, 0.034, 0.06, 0.078, 0.136, 0.195, 0.187, 0.136, 0.076, 0.038, 0.016, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-10T07:20:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.004, 0.005, 0.011, 0.028, 0.056, 0.101, 0.172, 0.217, 0.187, 0.125, 0.058, 0.02, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-11T07:25:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.004, 0.004, 0.008, 0.014, 0.035, 0.102, 0.245, 0.286, 0.17, 0.072, 0.027, 0.013, 0.007, 0.003, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-12T07:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.004, 0.005, 0.013, 0.06, 0.115, 0.117, 0.164, 0.188, 0.155, 0.101, 0.05, 0.017, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-13T07:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.011, 0.011, 0.021, 0.053, 0.111, 0.179, 0.213, 0.178, 0.119, 0.064, 0.024, 0.007, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-02-14T07:29:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.005, 0.006, 0.025, 0.075, 0.119, 0.159, 0.203, 0.176, 0.107, 0.062, 0.031, 0.016, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
