timestamp,bucket_values
2020-10-01T06:41:00,"[0.0, 0.0, 0.0, 0.0, 0.007, 0.007, 0.011, 0.022, 0.083, 0.204, 0.296, 0.173, 0.095, 0.053, 0.026, 0.012, 0.007, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2020-10-02T06:48:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.006, 0.004, 0.006, 0.013, 0.035, 0.08, 0.141, 0.175, 0.161, 0.127, 0.094, 0.065, 0.039, 0.025, 0.013, 0.007, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0]"
2020-10-03T07:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.005, 0.007, 0.013, 0.029, 0.076, 0.132, 0.202, 0.209, 0.156, 0.095, 0.042, 0.018, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2020-10-04T06:51:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.006, 0.006, 0.008, 0.013, 0.023, 0.038, 0.077, 0.131, 0.156, 0.154, 0.135, 0.106, 0.068, 0.041, 0.019, 0.008, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0]"
2020-10-05T06:42:30,"[0.0, 0.0, 0.001, 0.001, 0.0, 0.002, 0.003, 0.005, 0.003, 0.006, 0.013, 0.033, 0.08, 0.156, 0.216, 0.186, 0.129, 0.077, 0.042, 0.023, 0.012, 0.007, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2020-10-06T06:21:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.001, 0.004, 0.003, 0.005, 0.005, 0.009, 0.014, 0.03, 0.048, 0.085, 0.119, 0.14, 0.136, 0.123, 0.099, 0.075, 0.053, 0.028, 0.012, 0.005, 0.003, 0.001, 0.0]"
2020-10-07T07:36:30,"[0.0, 0.001, 0.001, 0.0, 0.001, 0.002, 0.003, 0.003, 0.003, 0.005, 0.012, 0.021, 0.064, 0.104, 0.156, 0.17, 0.162, 0.143, 0.082, 0.041, 0.017, 0.007, 0.002, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]"
2020-10-08T07:26:30,"[0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.003, 0.005, 0.004, 0.007, 0.01, 0.016, 0.038, 0.088, 0.154, 0.18, 0.171, 0.133, 0.095, 0.05, 0.025, 0.012, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0]"
2020-10-09T06:59:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.006, 0.009, 0.032, 0.085, 0.12, 0.142, 0.164, 0.149, 0.116, 0.079, 0.047, 0.024, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2020-10-10T06:55:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.007, 0.007, 0.011, 0.037, 0.115, 0.218, 0.215, 0.17, 0.107, 0.06, 0.029, 0.012, 0.004, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2020-10-11T06:13:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.006, 0.004, 0.008, 0.022, 0.054, 0.1, 0.165, 0.205, 0.173, 0.124, 0.074, 0.037, 0.014, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2020-10-12T06:37:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.004, 0.003, 0.005, 0.011, 0.013, 0.022, 0.049, 0.101, 0.147, 0.17, 0.143, 0.126, 0.088, 0.056, 0.031, 0.014, 0.008, 0.003, 0.001, 0.001, 0.0, 0.0]"
2020-10-13T06:05:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.008, 0.007, 0.018, 0.036, 0.061, 0.101, 0.151, 0.163, 0.15, 0.118, 0.083, 0.05, 0.027, 0.013, 0.006, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
