type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2021-04-30T22:30,2021-05-01T07:03:30,511,32.80802348336595,106.17536585365815,467.95817673997954,0.6258913319452034,1.3882160266063819
IDT,2021-05-01T22:05:30,2021-05-02T05:10:30,424,32.679716981132074,33.696585365853025,773.8235374182696,0.6208870480768414,1.3875893536387054
IDT,2021-05-02T20:49:30,2021-05-03T07:16,624,32.977724358974356,185.9566037735858,604.6568084727041,0.6231196340484232,1.3736475491462954
IDT,2021-05-03T22:19,2021-05-04T07:16,536,32.844029850746274,86.3455723542138,387.45051840506494,0.5800379465312504,1.3636399820367306
IDT,2021-05-04T22:29:30,2021-05-05T06:30:30,480,32.65020833333333,-14.164150943395725,479.19794410816394,0.5751247140173935,1.3579771533976308
IDT,2021-05-05T23:03,2021-05-06T06:26:30,443,32.60654627539503,-19.342291666665915,488.69554006075487,0.5745959348677477,1.3609097639865941
IDT,2021-05-06T21:55:30,2021-05-07T07:05:30,547,32.24332723948812,-198.68081264108332,747.4477976448834,0.570117756355746,1.3674055126962932
IDT,2021-05-07T22:41,2021-05-08T06:41:30,480,32.78395833333334,85.15778781038352,527.6944975515362,0.5596943908128659,1.3704046878693292
IDT,2021-05-08T22:46:30,2021-05-09T05:47,420,32.452380952380956,-64.74943566591355,1258.3497367119417,0.5597808923749674,1.368985072216769
IDT,2021-05-09T21:18:30,2021-05-10T06:20,541,31.579297597042515,-555.7415349887124,2393.5528904099483,0.5639474031007445,1.3878998227565889
IDT,2021-05-10T22:10,2021-05-11T06:43,512,32.753125,75.04830699774175,675.6754851234145,0.5313107845540341,1.3775984495715115
IDT,2021-05-11T22:54,2021-05-12T06:29:30,443,32.212866817155756,-162.25156576200243,879.3623263933696,0.5296464606411313,1.3848198809173209
IDT,2021-05-12T22:46,2021-05-13T04:52:30,362,32.261049723756905,-115.14258872651226,388.9046014880296,0.4719670714309102,1.3459756208582456
IDT,2021-05-13T20:51:30,2021-05-14T04:33:30,461,32.11648590021692,-204.48727810650962,965.3997980637942,0.4742718568556544,1.3348682902007296
IDT,2021-05-14T20:47,2021-05-15T05:06,499,32.60501002004008,12.917536534449027,581.5718692387454,0.4516051142716216,1.2855037130509381
IDT,2021-05-15T23:06,2021-05-16T05:30:30,372,32.057795698924735,-193.93382045928956,448.65042128483765,0.45433635448419846,1.2797335636978382
IDT,2021-05-16T22:45:30,2021-05-17T07:02:30,497,32.815694164989935,117.57578288100376,796.3726050704718,0.4566893077416789,1.2796195239519876
IDT,2021-05-17T21:37:30,2021-05-18T05:31:30,474,34.93502109704641,1104.4252505010008,2929.1817171815783,0.5829229602175443,1.2888581985203547
IDT,2021-05-19T22:54,2021-05-20T05:59:30,418,33.03708133971292,180.28473425406082,388.77262058632914,0.5975239793875069,1.3007876091020354
IDT,2021-05-20T23:28,2021-05-21T06:34,426,32.476056338028165,-55.261490927679915,1034.2443952572066,0.5970548656194543,1.3105449889567466
IDT,2021-05-21T23:27,2021-05-22T07:42:30,491,31.911201629327902,-341.0370705293208,1721.0647321287543,0.6131829577268598,1.3422719169404465
IDT,2021-05-22T23:32,2021-05-23T06:46,433,32.23394919168591,-160.6693386773568,1356.869044782943,0.6069801106267635,1.3584303978379428
IDT,2021-05-23T20:49,2021-05-24T06:00:30,531,32.128248587570624,-229.29142011834483,965.1867332202382,0.6097915561146052,1.3675300894983016
IDT,2021-05-24T23:37,2021-05-25T06:11,392,31.702295918367348,-336.2431952662737,1719.1249907216989,0.6263861039771494,1.3892754912442289
IDT,2021-05-25T21:51:30,2021-05-26T06:31:30,508,32.38858267716535,-87.11005917159855,733.1711071040481,0.6273004756645998,1.3804887076978185
IDT,2021-05-26T23:29,2021-05-27T06:41:30,433,32.49515011547344,-1.8189894035458565E-12,632.659815242514,0.6243994606046263,1.3949197029355629
IDT,2021-05-27T22:02,2021-05-28T06:36:30,515,32.117087378640775,-190.27128514056312,1079.7470329108182,0.6300296344975486,1.4006473550996041
IDT,2021-05-28T23:46,2021-05-29T06:42,416,32.79158653846154,126.89678714859474,456.549193722778,0.591641832666313,1.3935472036094758
IDT,2021-05-29T22:33,2021-05-30T07:20:30,528,31.54791666666667,-490.057746478873,4589.619744098745,0.6187286128147693,1.487456059331013
IDT,2021-05-30T23:48:30,2021-05-31T07:15,446,32.41345291479821,-17.36190476190677,645.3751473923912,0.6158180775139592,1.4947251774461292
IDT,2021-05-31T21:52:30,2021-06-01T06:49:30,529,32.354064272211716,-31.416591928253183,449.99955056398176,0.6149475209558017,1.4807724778314302
