timestamp,average_value,lower_bound,upper_bound
2021-09-29T00:00:00Z,95.4,94.6,97.2
2021-09-30T00:00:00Z,95.7,92.9,96.9
2021-10-01T00:00:00Z,96.5,95.3,97.3
2021-10-03T00:00:00Z,94.8,91.5,96.7
2021-10-04T00:00:00Z,95.8,94.0,97.2
2021-10-05T00:00:00Z,96.3,93.5,97.9
2021-10-06T00:00:00Z,96.9,96.2,97.6
2021-10-07T00:00:00Z,97.1,96.2,99.0
2021-10-08T00:00:00Z,94.9,94.4,95.3
2021-10-11T00:00:00Z,95.6,93.9,96.7
2021-10-12T00:00:00Z,98.4,97.8,99.5
2021-10-13T00:00:00Z,96.7,95.4,99.3
2021-10-14T00:00:00Z,96.5,95.1,98.8
2021-10-15T00:00:00Z,96.8,95.5,97.8
2021-10-16T00:00:00Z,95.0,93.2,97.6
2021-10-17T00:00:00Z,96.6,94.4,97.9
2021-10-18T00:00:00Z,96.6,95.9,97.8
2021-10-19T00:00:00Z,96.2,95.3,97.3
2021-10-20T00:00:00Z,95.6,94.5,96.8
2021-10-21T00:00:00Z,97.9,94.9,99.7
2021-10-22T00:00:00Z,95.9,94.8,97.1
2021-10-23T00:00:00Z,97.2,95.6,99.4
2021-10-24T00:00:00Z,95.6,93.1,99.8
2021-10-25T00:00:00Z,96.2,95.0,100.0
2021-10-26T00:00:00Z,95.9,95.2,97.4
2021-10-27T00:00:00Z,96.9,95.4,98.4
2021-10-28T00:00:00Z,95.9,94.4,97.8
2021-10-29T00:00:00Z,94.8,94.0,95.8
2021-10-30T00:00:00Z,95.8,95.3,96.6
2021-10-31T00:00:00Z,94.7,93.5,96.2
2021-11-01T00:00:00Z,95.7,93.6,96.8
2021-11-02T00:00:00Z,96.5,94.8,99.0
2021-11-03T00:00:00Z,96.2,93.0,98.6
2021-11-04T00:00:00Z,94.0,92.6,95.2
2021-11-05T00:00:00Z,95.6,93.7,98.1
2021-11-06T00:00:00Z,96.5,94.5,98.5
2021-11-07T00:00:00Z,95.5,94.5,96.7
2021-11-08T00:00:00Z,95.6,94.0,96.9
2021-11-09T00:00:00Z,95.9,94.2,98.4
2021-11-10T00:00:00Z,96.1,94.6,97.6
2021-11-11T00:00:00Z,94.4,92.4,95.9
2021-11-12T00:00:00Z,94.9,93.8,96.0
2021-11-13T00:00:00Z,95.4,92.0,97.4
2021-11-14T00:00:00Z,96.0,94.5,97.5
2021-11-15T00:00:00Z,95.7,93.2,97.7
2021-11-16T00:00:00Z,94.5,91.5,96.2
2021-11-17T00:00:00Z,95.7,94.7,97.0
2021-11-18T00:00:00Z,95.0,93.5,96.4
2021-11-19T00:00:00Z,95.6,94.3,97.4
2021-11-20T00:00:00Z,97.2,95.2,99.8
2021-11-21T00:00:00Z,96.5,95.1,98.3
2021-11-22T00:00:00Z,95.3,93.6,97.3
2021-11-23T00:00:00Z,95.9,94.9,97.2
2021-11-24T00:00:00Z,96.3,95.0,97.8
2021-11-25T00:00:00Z,96.1,93.8,98.0
2021-11-26T00:00:00Z,95.5,94.5,96.4
2021-11-27T00:00:00Z,94.6,93.6,95.6
2021-11-29T00:00:00Z,97.2,95.4,99.9
2021-11-30T00:00:00Z,95.7,95.2,96.4
2021-12-01T00:00:00Z,96.3,94.7,98.8
2021-12-02T00:00:00Z,95.9,93.4,97.9
2021-12-03T00:00:00Z,96.4,95.2,97.4
2021-12-04T00:00:00Z,95.9,94.8,96.9
2021-12-05T00:00:00Z,95.8,92.9,97.6
2021-12-06T00:00:00Z,98.7,98.4,99.1
2021-12-07T00:00:00Z,94.5,93.2,95.6
2021-12-08T00:00:00Z,94.8,93.6,95.7
2021-12-09T00:00:00Z,95.1,94.3,95.8
2021-12-10T00:00:00Z,96.0,94.3,97.2
2021-12-11T00:00:00Z,95.4,94.5,96.9
2021-12-12T00:00:00Z,95.5,94.5,96.5
2021-12-13T00:00:00Z,96.3,95.1,98.0
2021-12-14T00:00:00Z,96.5,95.2,97.9
2021-12-15T00:00:00Z,95.4,92.4,98.6
2021-12-16T00:00:00Z,95.7,94.7,96.6
2021-12-17T00:00:00Z,98.3,97.6,98.9
2021-12-18T00:00:00Z,95.8,95.0,96.8
2021-12-20T00:00:00Z,96.3,94.9,97.8
2021-12-21T00:00:00Z,96.8,94.9,98.3
2021-12-22T00:00:00Z,96.4,95.2,98.3
2021-12-23T00:00:00Z,95.9,94.5,97.8
2021-12-24T00:00:00Z,95.4,94.6,96.1
2021-12-25T00:00:00Z,96.4,93.5,98.2
2021-12-28T00:00:00Z,96.4,94.9,98.3
2021-12-29T00:00:00Z,95.7,94.5,96.9
2021-12-30T00:00:00Z,95.7,94.6,96.9
2021-12-31T00:00:00Z,95.6,94.7,97.2
2022-01-01T00:00:00Z,95.6,94.8,96.4
2022-01-02T00:00:00Z,95.6,94.3,99.7
2022-01-03T00:00:00Z,95.6,93.5,97.4
2022-01-04T00:00:00Z,96.5,94.5,98.2
2022-01-05T00:00:00Z,96.3,94.9,97.5
2022-01-06T00:00:00Z,95.0,93.0,96.7
2022-01-07T00:00:00Z,94.6,93.6,96.8
