date_time,heart_zone_id,total_minutes
2020-08-29T10:09,CARDIO,2
2020-08-29T10:10,CARDIO,2
2020-08-29T10:11,CARDIO,2
2020-08-29T10:12,CARDIO,2
2020-08-29T10:14,FAT_BURN,1
2020-08-29T10:15,FAT_BURN,1
2020-08-29T10:16,FAT_BURN,1
2020-08-29T10:17,FAT_BURN,1
2020-08-29T10:18,FAT_BURN,1
2020-08-29T10:19,FAT_BURN,1
2020-08-29T10:20,FAT_BURN,1
2020-08-29T10:21,FAT_BURN,1
2020-08-29T10:22,FAT_BURN,1
2020-08-29T10:23,FAT_BURN,1
2020-08-29T10:24,FAT_BURN,1
2020-08-29T10:25,FAT_BURN,1
2020-08-29T10:26,FAT_BURN,1
2020-08-29T10:27,FAT_BURN,1
2020-08-29T10:28,CARDIO,2
2020-08-29T10:29,FAT_BURN,1
2020-08-29T10:30,FAT_BURN,1
2020-08-29T10:31,FAT_BURN,1
2020-08-29T10:32,FAT_BURN,1
2020-08-29T10:33,FAT_BURN,1
2020-08-29T10:34,FAT_BURN,1
2020-08-29T10:35,FAT_BURN,1
2020-08-29T11:26,FAT_BURN,1
2020-08-29T11:27,CARDIO,2
2020-08-29T11:28,CARDIO,2
2020-08-29T11:29,PEAK,2
2020-08-29T11:30,PEAK,2
2020-08-29T11:31,PEAK,2
2020-08-29T11:32,PEAK,2
2020-08-29T11:33,PEAK,2
2020-08-29T11:34,PEAK,2
2020-08-29T11:35,PEAK,2
2020-08-29T11:36,PEAK,2
2020-08-29T11:37,PEAK,2
2020-08-29T11:38,PEAK,2
2020-08-29T11:39,PEAK,2
2020-08-29T11:40,PEAK,2
2020-08-29T11:41,PEAK,2
2020-08-29T11:42,PEAK,2
2020-08-29T11:43,PEAK,2
2020-08-29T11:44,PEAK,2
2020-08-29T11:45,PEAK,2
2020-08-29T11:46,PEAK,2
2020-08-29T11:47,PEAK,2
2020-08-29T11:48,PEAK,2
2020-08-29T11:49,CARDIO,2
2020-08-29T11:50,FAT_BURN,1
2020-08-29T11:51,FAT_BURN,1
2020-08-29T11:52,FAT_BURN,1
2020-08-29T11:53,FAT_BURN,1
2020-08-29T11:58,FAT_BURN,1
2020-08-29T13:02,CARDIO,2
2020-08-29T13:03,FAT_BURN,1
2020-08-29T13:46,FAT_BURN,1
2020-08-29T13:47,FAT_BURN,1
2020-08-29T14:21,CARDIO,2
2020-08-30T09:26,FAT_BURN,1
2020-08-30T17:00,FAT_BURN,1
2020-08-30T17:13,FAT_BURN,1
2020-08-31T09:06,FAT_BURN,1
2020-08-31T09:07,FAT_BURN,1
2020-08-31T09:09,FAT_BURN,1
2020-08-31T09:15,FAT_BURN,1
2020-08-31T12:17,FAT_BURN,1
