timestamp,Infrared to Red Signal Ratio
11/26/21 00:00:33,-52
11/26/21 00:01:33,-14
11/26/21 00:02:33,3
11/26/21 00:03:33,-7
11/26/21 00:04:33,-3
11/26/21 00:05:33,-11
11/26/21 00:06:33,31
11/26/21 00:07:34,4
11/26/21 00:08:34,-34
11/26/21 00:09:34,0
11/26/21 00:10:34,-34
11/26/21 00:11:34,6
11/26/21 00:12:34,73
11/26/21 00:13:35,60
11/26/21 00:14:36,32
11/26/21 00:15:36,4
11/26/21 00:16:36,-1
11/26/21 00:17:36,-27
11/26/21 00:18:36,2
11/26/21 00:19:36,-30
11/26/21 00:20:36,0
11/26/21 00:21:37,-4
11/26/21 00:22:37,-41
11/26/21 00:23:37,0
11/26/21 00:24:37,-6
11/26/21 00:25:37,6
11/26/21 00:26:37,4
11/26/21 00:27:38,29
11/26/21 00:28:40,35
11/26/21 00:29:41,60
11/26/21 00:30:41,29
11/26/21 00:31:41,-46
11/26/21 00:32:41,-2
11/26/21 00:33:41,0
11/26/21 00:34:41,-6
11/26/21 00:35:41,0
11/26/21 00:36:42,0
11/26/21 00:37:42,2
11/26/21 00:38:42,0
11/26/21 00:39:42,-74
11/26/21 00:40:42,-42
11/26/21 00:41:42,6
11/26/21 00:42:43,13
11/26/21 00:43:43,15
11/26/21 00:44:45,-27
11/26/21 00:45:45,-39
11/26/21 00:46:46,-11
11/26/21 00:47:46,-3
11/26/21 00:48:46,0
11/26/21 00:49:46,1
11/26/21 00:50:46,26
11/26/21 00:51:46,0
11/26/21 00:52:46,0
11/26/21 00:53:47,24
11/26/21 00:54:47,-1
11/26/21 00:55:47,8
11/26/21 00:56:47,-5
11/26/21 00:57:47,-4
11/26/21 00:58:47,-5
11/26/21 00:59:49,9
11/26/21 01:00:50,-25
11/26/21 01:01:50,-2
11/26/21 01:02:50,0
11/26/21 01:03:50,-1
11/26/21 01:04:50,-15
11/26/21 01:05:50,2
11/26/21 01:06:50,-28
11/26/21 01:07:51,-13
11/26/21 01:08:51,-26
11/26/21 01:09:51,20
11/26/21 01:10:51,0
11/26/21 01:11:51,-45
11/26/21 01:12:51,-22
11/26/21 01:13:51,-33
11/26/21 01:14:52,0
11/26/21 01:15:53,-8
11/26/21 01:16:53,-27
11/26/21 01:17:53,-44
11/26/21 01:18:53,-8
11/26/21 01:19:53,-7
11/26/21 01:20:53,1
11/26/21 01:21:53,-1
11/26/21 01:22:54,3
11/26/21 01:23:54,-8
11/26/21 01:24:54,-5
11/26/21 01:25:54,0
11/26/21 01:26:54,7
11/26/21 01:27:54,-19
11/26/21 01:28:54,-69
11/26/21 01:29:56,13
11/26/21 01:30:56,1
11/26/21 01:31:56,0
11/26/21 01:32:56,0
11/26/21 01:33:56,-8
11/26/21 01:34:56,-1
11/26/21 01:35:56,0
11/26/21 01:36:57,-3
11/26/21 01:37:57,-20
11/26/21 01:38:57,-8
11/26/21 01:39:57,-35
11/26/21 01:40:57,-13
11/26/21 01:41:57,-24
11/26/21 01:42:57,5
11/26/21 01:43:58,0
11/26/21 01:44:58,0
11/26/21 01:45:58,4
11/26/21 01:46:58,4
11/26/21 01:47:58,-3
11/26/21 01:48:59,0
11/26/21 01:49:59,4
11/26/21 01:50:59,0
11/26/21 01:51:59,0
11/26/21 01:52:59,-4
11/26/21 01:53:59,-1
11/26/21 01:54:59,0
11/26/21 01:56:00,-16
11/26/21 01:57:00,-1
11/26/21 01:58:00,-20
11/26/21 01:59:00,9
11/26/21 02:00:03,2
11/26/21 02:01:03,0
11/26/21 02:02:03,-4
11/26/21 02:03:04,26
11/26/21 02:04:04,17
11/26/21 02:05:04,0
11/26/21 02:06:04,2
11/26/21 02:07:04,1
11/26/21 02:08:04,-2
11/26/21 02:09:04,7
11/26/21 02:10:05,6
11/26/21 02:11:05,17
11/26/21 02:12:05,0
11/26/21 02:13:05,0
11/26/21 02:14:05,1
11/26/21 02:15:07,-40
11/26/21 02:16:07,0
11/26/21 02:17:08,-1
11/26/21 02:18:08,-6
11/26/21 02:19:08,20
11/26/21 02:20:08,-69
11/26/21 02:21:08,6
11/26/21 02:22:08,32
11/26/21 02:23:08,45
11/26/21 02:24:09,77
11/26/21 02:25:09,32
11/26/21 02:26:09,4
11/26/21 02:27:09,8
11/26/21 02:28:09,-26
11/26/21 02:29:09,0
11/26/21 02:30:11,33
11/26/21 02:31:11,7
11/26/21 02:32:11,5
11/26/21 02:33:12,-4
11/26/21 02:34:12,0
11/26/21 02:35:12,0
11/26/21 02:36:12,20
11/26/21 02:37:12,0
11/26/21 02:38:12,-6
11/26/21 02:39:13,1
11/26/21 02:40:13,0
11/26/21 02:41:13,0
11/26/21 02:42:13,-67
11/26/21 02:43:13,7
11/26/21 02:44:13,4
11/26/21 02:45:15,-5
11/26/21 02:46:15,-58
11/26/21 02:47:15,0
11/26/21 02:48:15,-56
11/26/21 02:49:15,-8
11/26/21 02:50:15,-21
11/26/21 02:51:15,-17
11/26/21 02:52:16,0
11/26/21 02:53:16,-2
11/26/21 02:54:16,3
11/26/21 02:55:16,38
11/26/21 02:56:16,76
11/26/21 02:57:16,-53
11/26/21 02:58:16,-1
11/26/21 02:59:17,0
11/26/21 03:00:18,-40
11/26/21 03:01:18,-20
11/26/21 03:02:19,-12
11/26/21 03:03:19,-1
11/26/21 03:04:19,0
11/26/21 03:05:19,0
11/26/21 03:06:19,1
11/26/21 03:07:19,-7
11/26/21 03:08:19,17
11/26/21 03:09:20,-27
11/26/21 03:10:20,1
11/26/21 03:11:20,0
11/26/21 03:12:20,25
11/26/21 03:13:20,-5
11/26/21 03:14:20,14
11/26/21 03:15:22,0
11/26/21 03:16:22,0
11/26/21 03:17:22,-30
11/26/21 03:18:22,6
11/26/21 03:19:22,-6
11/26/21 03:20:22,-17
11/26/21 03:21:23,0
11/26/21 03:22:23,16
11/26/21 03:23:23,-17
11/26/21 03:24:23,0
11/26/21 03:25:23,-15
11/26/21 03:26:23,0
11/26/21 03:27:24,-11
11/26/21 03:28:24,35
11/26/21 03:29:24,-46
11/26/21 03:30:25,-12
11/26/21 03:31:25,14
11/26/21 03:32:26,0
11/26/21 03:33:26,-23
11/26/21 03:34:26,1
11/26/21 03:35:26,16
11/26/21 03:36:26,32
11/26/21 03:37:26,-32
11/26/21 03:38:27,-19
11/26/21 03:39:27,0
11/26/21 03:40:27,8
11/26/21 03:41:27,0
11/26/21 03:42:27,0
11/26/21 03:43:27,-17
11/26/21 03:44:27,-11
11/26/21 03:45:29,-1
11/26/21 03:46:29,4
11/26/21 03:47:29,8
11/26/21 03:48:29,30
11/26/21 03:49:29,15
11/26/21 03:50:30,53
11/26/21 03:51:30,-13
11/26/21 03:52:30,-23
11/26/21 03:53:30,2
11/26/21 03:54:30,1
11/26/21 03:55:30,8
11/26/21 03:56:31,6
11/26/21 03:57:31,24
11/26/21 03:58:31,21
11/26/21 03:59:31,3
11/26/21 04:00:33,0
11/26/21 04:01:33,12
11/26/21 04:02:33,-2
11/26/21 04:03:33,2
11/26/21 04:04:33,8
11/26/21 04:05:33,-17
11/26/21 04:06:33,0
11/26/21 04:07:34,0
11/26/21 04:08:34,0
11/26/21 04:09:34,1
11/26/21 04:10:34,0
11/26/21 04:11:34,9
11/26/21 04:12:34,6
11/26/21 04:13:34,0
11/26/21 04:14:35,-3
11/26/21 04:15:36,-34
11/26/21 04:16:37,8
11/26/21 04:17:37,0
11/26/21 04:18:37,23
11/26/21 04:19:37,5
11/26/21 04:20:37,0
11/26/21 04:21:37,21
11/26/21 04:22:37,21
11/26/21 04:23:38,6
11/26/21 04:24:38,0
11/26/21 04:25:38,0
11/26/21 04:26:38,-15
11/26/21 04:27:38,0
11/26/21 04:28:38,-17
11/26/21 04:29:38,8
11/26/21 04:30:40,-13
11/26/21 04:31:40,2
11/26/21 04:32:40,-20
11/26/21 04:33:40,0
11/26/21 04:34:41,0
11/26/21 04:35:41,32
11/26/21 04:36:41,2
11/26/21 04:37:41,-10
11/26/21 04:38:41,0
11/26/21 04:39:41,-21
11/26/21 04:40:41,-23
11/26/21 04:41:42,3
11/26/21 04:42:42,13
11/26/21 04:43:42,-41
11/26/21 04:44:42,-3
11/26/21 04:45:44,26
11/26/21 04:46:44,-85
11/26/21 04:47:45,-13
11/26/21 04:48:45,-9
11/26/21 04:49:45,-23
11/26/21 04:50:45,21
11/26/21 04:51:45,-74
11/26/21 04:52:45,13
11/26/21 04:53:45,18
11/26/21 04:54:46,21
11/26/21 04:55:46,-71
11/26/21 04:56:46,25
11/26/21 04:57:46,21
11/26/21 04:58:46,14
11/26/21 04:59:46,-7
11/26/21 05:00:49,-10
11/26/21 05:01:49,3
11/26/21 05:02:49,0
11/26/21 05:03:49,0
11/26/21 05:04:49,3
11/26/21 05:05:49,0
11/26/21 05:06:49,17
11/26/21 05:07:50,0
11/26/21 05:08:50,0
11/26/21 05:09:50,0
11/26/21 05:10:50,1
11/26/21 05:11:50,0
11/26/21 05:12:50,3
11/26/21 05:13:50,0
11/26/21 05:14:51,5
11/26/21 05:15:52,19
11/26/21 05:16:53,0
11/26/21 05:17:53,0
11/26/21 05:18:53,-3
11/26/21 05:19:53,-11
11/26/21 05:20:53,-18
11/26/21 05:21:53,0
11/26/21 05:22:53,-2
11/26/21 05:23:54,-57
11/26/21 05:24:54,-40
11/26/21 05:25:54,-14
11/26/21 05:26:54,9
11/26/21 05:27:54,-6
11/26/21 05:28:54,5
11/26/21 05:29:54,17
11/26/21 05:30:56,-7
11/26/21 05:31:56,-17
11/26/21 05:32:57,4
11/26/21 05:33:57,16
11/26/21 05:34:57,34
11/26/21 05:35:57,0
11/26/21 05:36:57,-8
11/26/21 05:37:57,0
11/26/21 05:38:58,0
11/26/21 05:39:58,21
11/26/21 05:40:58,0
11/26/21 05:41:58,-7
