timestamp,Infrared to Red Signal Ratio
11/03/21 00:00:09,0
11/03/21 00:01:10,-33
11/03/21 00:02:10,-26
11/03/21 00:03:10,-23
11/03/21 00:04:10,0
11/03/21 00:05:10,-1
11/03/21 00:06:10,8
11/03/21 00:07:11,0
11/03/21 00:08:11,-5
11/03/21 00:09:11,-2
11/03/21 00:10:11,0
11/03/21 00:11:11,-22
11/03/21 00:12:11,-11
11/03/21 00:13:11,0
11/03/21 00:14:12,9
11/03/21 00:15:12,2
11/03/21 00:16:12,-2
11/03/21 00:17:12,10
11/03/21 00:18:12,0
11/03/21 00:19:12,21
11/03/21 00:20:12,31
11/03/21 00:21:13,-16
11/03/21 00:22:13,-22
11/03/21 00:23:13,0
11/03/21 00:24:13,-26
11/03/21 00:25:13,0
11/03/21 00:26:13,-17
11/03/21 00:27:14,-34
11/03/21 00:28:14,30
11/03/21 00:29:14,0
11/03/21 00:30:14,0
11/03/21 00:31:14,0
11/03/21 00:32:14,14
11/03/21 00:33:14,0
11/03/21 00:34:15,2
11/03/21 00:35:15,37
11/03/21 00:36:15,0
11/03/21 00:37:15,-13
11/03/21 00:38:15,1
11/03/21 00:39:15,44
11/03/21 00:40:15,-22
11/03/21 00:41:16,-15
11/03/21 00:42:16,-7
11/03/21 00:43:16,-39
11/03/21 00:44:16,-42
11/03/21 00:45:16,0
11/03/21 00:46:16,-2
11/03/21 00:47:17,14
11/03/21 00:48:17,8
11/03/21 00:49:17,0
11/03/21 00:50:17,-6
11/03/21 00:51:17,-21
11/03/21 00:52:17,-1
11/03/21 00:53:17,12
11/03/21 00:54:18,-5
11/03/21 00:55:18,18
11/03/21 00:56:18,0
11/03/21 00:57:18,-19
11/03/21 00:58:18,0
11/03/21 00:59:18,-1
11/03/21 01:00:18,30
11/03/21 01:01:19,13
11/03/21 01:02:19,3
11/03/21 01:03:19,-2
11/03/21 01:04:19,44
11/03/21 01:05:19,-3
11/03/21 01:06:19,3
11/03/21 01:07:20,0
11/03/21 01:08:20,9
11/03/21 01:09:20,18
11/03/21 01:10:20,0
11/03/21 01:11:20,-6
11/03/21 01:12:20,30
11/03/21 01:13:20,29
11/03/21 01:14:21,2
11/03/21 01:15:21,13
11/03/21 01:16:21,39
11/03/21 01:17:21,-28
11/03/21 01:18:21,2
11/03/21 01:19:21,-4
11/03/21 01:20:21,0
11/03/21 01:21:22,28
11/03/21 01:22:22,-2
11/03/21 01:23:22,-37
11/03/21 01:24:22,50
11/03/21 01:25:22,-1
11/03/21 01:26:22,21
11/03/21 01:27:23,-3
11/03/21 01:28:23,0
11/03/21 01:29:23,0
11/03/21 01:30:23,0
11/03/21 01:31:23,-8
11/03/21 01:32:23,-3
11/03/21 01:33:23,5
11/03/21 01:34:24,0
11/03/21 01:35:24,28
11/03/21 01:36:24,16
11/03/21 01:37:24,-21
11/03/21 01:38:24,2
11/03/21 01:39:24,0
11/03/21 01:40:24,0
11/03/21 01:41:25,-21
11/03/21 01:42:25,13
11/03/21 01:43:25,-21
11/03/21 01:44:25,-8
11/03/21 01:45:25,-3
11/03/21 01:46:25,0
11/03/21 01:47:26,9
11/03/21 01:48:26,6
11/03/21 01:49:26,-1
11/03/21 01:50:26,-5
11/03/21 01:51:26,-2
11/03/21 01:52:26,0
11/03/21 01:53:26,-2
11/03/21 01:54:27,-26
11/03/21 01:55:27,0
11/03/21 01:56:27,-14
11/03/21 01:57:27,7
11/03/21 01:58:27,1
11/03/21 01:59:27,0
11/03/21 02:00:27,-5
11/03/21 02:01:28,7
11/03/21 02:02:28,-6
11/03/21 02:03:28,0
11/03/21 02:04:28,-13
11/03/21 02:05:28,0
11/03/21 02:06:28,0
11/03/21 02:07:29,-2
11/03/21 02:08:29,40
11/03/21 02:09:29,0
11/03/21 02:10:29,8
11/03/21 02:11:29,0
11/03/21 02:12:29,1
11/03/21 02:13:29,-13
11/03/21 02:14:30,0
11/03/21 02:15:30,0
11/03/21 02:16:30,0
11/03/21 02:17:30,0
11/03/21 02:18:30,0
11/03/21 02:19:30,0
11/03/21 02:20:30,0
11/03/21 02:21:31,29
11/03/21 02:22:31,10
11/03/21 02:23:31,8
11/03/21 02:24:31,0
11/03/21 02:25:31,0
11/03/21 02:26:31,1
11/03/21 02:27:32,0
11/03/21 02:28:32,-17
11/03/21 02:29:32,18
11/03/21 02:30:32,0
11/03/21 02:31:32,0
11/03/21 02:32:32,12
11/03/21 02:33:32,-3
11/03/21 02:34:33,-1
11/03/21 02:35:33,0
11/03/21 02:36:33,-33
11/03/21 02:37:33,40
11/03/21 02:38:33,19
11/03/21 02:39:33,0
11/03/21 02:40:33,6
11/03/21 02:41:34,8
11/03/21 02:42:34,-6
11/03/21 02:43:34,0
11/03/21 02:44:34,46
11/03/21 02:45:34,-16
11/03/21 02:46:34,0
11/03/21 02:47:35,8
11/03/21 02:48:35,-1
11/03/21 02:49:35,6
11/03/21 02:50:35,17
11/03/21 02:51:35,-13
11/03/21 02:52:35,19
11/03/21 02:53:35,21
11/03/21 02:54:36,0
11/03/21 02:55:36,0
11/03/21 02:56:36,2
11/03/21 02:57:36,-4
11/03/21 02:58:36,-6
11/03/21 02:59:36,7
11/03/21 03:00:36,8
11/03/21 03:01:37,2
11/03/21 03:02:37,0
11/03/21 03:03:37,50
11/03/21 03:04:37,0
11/03/21 03:05:37,34
11/03/21 03:06:37,-4
11/03/21 03:07:38,41
11/03/21 03:08:38,-8
11/03/21 03:09:38,7
11/03/21 03:10:38,0
11/03/21 03:11:38,18
11/03/21 03:12:38,13
11/03/21 03:13:38,63
11/03/21 03:14:39,43
11/03/21 03:15:39,26
11/03/21 03:16:39,6
11/03/21 03:17:39,29
11/03/21 03:18:39,3
11/03/21 03:19:39,1
