timestamp,Infrared to Red Signal Ratio
05/22/21 00:00:32,8
05/22/21 00:01:33,-6
05/22/21 00:02:33,47
05/22/21 00:03:33,0
05/22/21 00:04:33,-4
05/22/21 00:05:33,3
05/22/21 00:06:33,21
05/22/21 00:07:34,0
05/22/21 00:08:34,0
05/22/21 00:09:34,0
05/22/21 00:10:34,8
05/22/21 00:11:34,-40
05/22/21 00:12:34,-13
05/22/21 00:13:34,9
05/22/21 00:14:35,54
05/22/21 00:15:35,-1
05/22/21 00:16:35,-12
05/22/21 00:17:35,0
05/22/21 00:18:36,1
05/22/21 00:19:36,22
05/22/21 00:20:36,21
05/22/21 00:21:36,27
05/22/21 00:22:36,-2
05/22/21 00:23:36,0
05/22/21 00:24:36,60
05/22/21 00:25:37,-1
05/22/21 00:26:37,-9
05/22/21 00:27:37,12
05/22/21 00:28:37,13
05/22/21 00:29:37,-3
05/22/21 00:30:37,-23
05/22/21 00:31:37,-16
05/22/21 00:32:40,0
05/22/21 00:33:40,-1
05/22/21 00:34:40,-46
05/22/21 00:35:40,-13
05/22/21 00:36:41,0
05/22/21 00:37:41,0
05/22/21 00:38:41,0
05/22/21 00:39:41,-4
05/22/21 00:40:41,0
05/22/21 00:41:41,6
05/22/21 00:42:41,0
05/22/21 00:43:42,0
05/22/21 00:44:42,0
05/22/21 00:45:42,-11
05/22/21 00:46:42,-62
05/22/21 00:47:43,-1
05/22/21 00:48:43,0
05/22/21 00:49:43,-25
05/22/21 00:50:43,11
05/22/21 00:51:43,48
05/22/21 00:52:43,15
05/22/21 00:53:43,4
05/22/21 00:54:44,-2
05/22/21 00:55:44,-21
05/22/21 00:56:44,8
05/22/21 00:57:44,21
05/22/21 00:58:44,15
05/22/21 00:59:44,11
05/22/21 01:00:44,0
05/22/21 01:01:45,7
05/22/21 01:02:46,35
05/22/21 01:03:46,-15
05/22/21 01:04:46,0
05/22/21 01:05:47,-17
05/22/21 01:06:47,25
05/22/21 01:07:47,0
05/22/21 01:08:47,-11
05/22/21 01:09:47,13
05/22/21 01:10:47,-40
05/22/21 01:11:48,4
05/22/21 01:12:48,30
05/22/21 01:13:48,7
05/22/21 01:14:48,-23
05/22/21 01:15:48,-4
05/22/21 01:16:48,-5
05/22/21 01:17:51,58
05/22/21 01:18:51,20
05/22/21 01:19:51,2
05/22/21 01:20:51,5
05/22/21 01:21:52,-18
05/22/21 01:22:52,7
05/22/21 01:23:52,-65
05/22/21 01:24:52,14
05/22/21 01:25:52,-7
05/22/21 01:26:52,21
05/22/21 01:27:53,32
05/22/21 01:28:53,0
05/22/21 01:29:53,29
05/22/21 01:30:53,34
05/22/21 01:31:53,-20
05/22/21 01:32:54,0
05/22/21 01:33:54,-15
05/22/21 01:34:55,0
05/22/21 01:35:55,0
05/22/21 01:36:55,45
05/22/21 01:37:55,0
05/22/21 01:38:55,0
05/22/21 01:39:55,0
05/22/21 01:40:55,0
05/22/21 01:41:56,0
05/22/21 01:42:56,0
05/22/21 01:43:56,0
05/22/21 01:44:56,0
05/22/21 01:45:56,0
05/22/21 01:46:56,0
05/22/21 01:47:58,0
05/22/21 01:48:58,0
05/22/21 01:49:58,0
05/22/21 01:50:59,0
05/22/21 01:51:59,0
05/22/21 01:52:59,0
05/22/21 01:53:59,0
05/22/21 01:54:59,0
05/22/21 01:55:59,-10
05/22/21 01:56:59,0
05/22/21 01:58:00,0
05/22/21 01:59:00,0
05/22/21 02:00:00,0
05/22/21 02:01:00,0
05/22/21 02:02:00,0
05/22/21 02:03:00,0
05/22/21 02:04:00,23
05/22/21 02:05:00,-26
05/22/21 02:06:00,8
05/22/21 02:07:00,7
05/22/21 02:08:00,22
05/22/21 02:09:01,-4
05/22/21 02:10:01,-5
05/22/21 02:11:01,0
05/22/21 02:12:01,11
05/22/21 02:13:01,-70
05/22/21 02:14:01,0
05/22/21 02:15:02,-44
05/22/21 02:16:02,18
05/22/21 02:17:02,9
05/22/21 02:18:02,23
05/22/21 02:19:02,18
05/22/21 02:20:03,0
05/22/21 02:21:03,9
05/22/21 02:22:03,0
05/22/21 02:23:03,5
05/22/21 02:24:03,-2
05/22/21 02:25:03,0
05/22/21 02:26:03,0
05/22/21 02:27:04,-2
05/22/21 02:28:04,-43
05/22/21 02:29:04,0
05/22/21 02:30:04,-3
05/22/21 02:31:04,-13
05/22/21 02:32:04,-2
05/22/21 02:33:05,-25
05/22/21 02:34:05,-61
05/22/21 02:35:05,0
05/22/21 02:36:05,49
