timestamp,Infrared to Red Signal Ratio
04/28/21 01:24:31,-29
04/28/21 01:25:31,5
04/28/21 01:26:31,-3
04/28/21 01:27:32,0
04/28/21 01:28:32,-20
04/28/21 01:29:32,1
04/28/21 01:30:32,-4
04/28/21 01:31:35,-21
04/28/21 01:32:35,-11
04/28/21 01:33:35,3
04/28/21 01:34:35,-4
04/28/21 01:35:36,-20
04/28/21 01:36:36,-4
04/28/21 01:37:36,-6
04/28/21 01:38:36,6
04/28/21 01:39:36,-17
04/28/21 01:40:36,8
04/28/21 01:41:37,-4
04/28/21 01:42:37,-1
04/28/21 01:43:37,-23
04/28/21 01:44:37,7
04/28/21 01:45:37,-1
04/28/21 01:46:39,0
04/28/21 01:47:39,14
04/28/21 01:48:39,-2
04/28/21 01:49:40,-29
04/28/21 01:50:40,-28
04/28/21 01:51:40,-8
04/28/21 01:52:40,-60
04/28/21 01:53:40,-28
04/28/21 01:54:40,42
04/28/21 01:55:41,-13
04/28/21 01:56:41,-4
04/28/21 01:57:41,0
04/28/21 01:58:41,20
04/28/21 01:59:41,51
04/28/21 02:00:41,34
04/28/21 02:01:42,19
04/28/21 02:02:42,21
04/28/21 02:03:42,-39
04/28/21 02:04:43,2
04/28/21 02:05:43,14
04/28/21 02:06:43,10
04/28/21 02:07:43,-8
04/28/21 02:08:43,7
04/28/21 02:09:43,-4
04/28/21 02:10:43,18
04/28/21 02:11:44,-16
04/28/21 02:12:44,25
04/28/21 02:13:44,-2
04/28/21 02:14:44,-31
04/28/21 02:15:44,0
04/28/21 02:16:46,-9
04/28/21 02:17:46,0
04/28/21 02:18:46,2
04/28/21 02:19:46,-20
04/28/21 02:20:47,-1
04/28/21 02:21:47,0
04/28/21 02:22:47,0
04/28/21 02:23:47,6
04/28/21 02:24:47,0
04/28/21 02:25:47,-11
04/28/21 02:26:47,19
04/28/21 02:27:48,12
04/28/21 02:28:48,50
04/28/21 02:29:48,-37
04/28/21 02:30:48,48
04/28/21 02:31:50,-5
04/28/21 02:32:50,13
04/28/21 02:33:50,0
04/28/21 02:34:50,23
04/28/21 02:35:50,27
04/28/21 02:36:50,1
04/28/21 02:37:51,-5
04/28/21 02:38:51,29
04/28/21 02:39:51,-6
04/28/21 02:40:51,11
04/28/21 02:41:51,-26
04/28/21 02:42:51,-8
04/28/21 02:43:52,0
04/28/21 02:44:52,49
04/28/21 02:45:52,-4
04/28/21 02:46:55,4
04/28/21 02:47:55,-21
04/28/21 02:48:56,-61
04/28/21 02:49:56,3
04/28/21 02:50:56,2
04/28/21 02:51:56,0
04/28/21 02:52:56,-2
04/28/21 02:53:56,4
04/28/21 02:54:56,-2
04/28/21 02:55:57,14
04/28/21 02:56:57,0
04/28/21 02:57:57,5
04/28/21 02:58:57,-18
04/28/21 02:59:57,0
04/28/21 03:00:57,0
04/28/21 03:01:57,63
04/28/21 03:02:57,9
04/28/21 03:03:57,0
04/28/21 03:04:57,29
04/28/21 03:05:58,1
04/28/21 03:06:58,-1
04/28/21 03:07:58,1
04/28/21 03:08:58,-45
04/28/21 03:09:58,10
04/28/21 03:10:58,4
04/28/21 03:11:59,-31
04/28/21 03:12:59,0
04/28/21 03:13:59,4
04/28/21 03:14:59,0
04/28/21 03:15:59,-33
04/28/21 03:17:03,-29
04/28/21 03:18:03,2
04/28/21 03:19:03,0
04/28/21 03:20:03,3
04/28/21 03:21:03,-2
04/28/21 03:22:04,-38
04/28/21 03:23:04,-8
04/28/21 03:24:04,41
04/28/21 03:25:04,-19
04/28/21 03:26:04,0
04/28/21 03:27:04,-42
04/28/21 03:28:04,-72
04/28/21 03:29:05,0
04/28/21 03:30:05,35
04/28/21 03:31:05,0
04/28/21 03:32:05,18
