timestamp,Infrared to Red Signal Ratio
12/23/21 00:00:54,-16
12/23/21 00:01:54,-1
12/23/21 00:02:55,13
12/23/21 00:03:55,-1
12/23/21 00:04:55,-20
12/23/21 00:05:55,4
12/23/21 00:06:55,0
12/23/21 00:07:55,-26
12/23/21 00:08:55,2
12/23/21 00:09:56,4
12/23/21 00:10:56,-24
12/23/21 00:11:56,4
12/23/21 00:12:56,-4
12/23/21 00:13:56,-26
12/23/21 00:14:57,25
12/23/21 00:15:57,0
12/23/21 00:16:57,0
12/23/21 00:17:57,-1
12/23/21 00:18:58,4
12/23/21 00:19:58,-3
12/23/21 00:20:58,6
12/23/21 00:21:58,21
12/23/21 00:22:58,16
12/23/21 00:23:58,17
12/23/21 00:24:58,2
12/23/21 00:25:59,3
12/23/21 00:26:59,2
12/23/21 00:27:59,-47
12/23/21 00:28:59,21
12/23/21 00:30:01,8
12/23/21 00:31:02,26
12/23/21 00:32:02,-10
12/23/21 00:33:02,13
12/23/21 00:34:02,3
12/23/21 00:35:02,19
12/23/21 00:36:02,-3
12/23/21 00:37:03,38
12/23/21 00:38:03,-1
12/23/21 00:39:03,8
12/23/21 00:40:03,13
12/23/21 00:41:03,17
12/23/21 00:42:03,2
12/23/21 00:43:03,4
12/23/21 00:44:04,-2
12/23/21 00:45:06,-3
12/23/21 00:46:06,0
12/23/21 00:47:06,-8
12/23/21 00:48:06,0
12/23/21 00:49:06,-3
12/23/21 00:50:07,-16
12/23/21 00:51:07,-46
12/23/21 00:52:07,-10
12/23/21 00:53:07,4
12/23/21 00:54:07,-1
12/23/21 00:55:07,15
12/23/21 00:56:07,1
12/23/21 00:57:08,0
12/23/21 00:58:08,-47
12/23/21 00:59:08,4
12/23/21 01:00:10,1
12/23/21 01:01:10,0
12/23/21 01:02:10,-38
12/23/21 01:03:10,-2
12/23/21 01:04:10,-3
12/23/21 01:05:11,-38
12/23/21 01:06:11,-33
12/23/21 01:07:11,-21
12/23/21 01:08:11,0
12/23/21 01:09:11,-3
12/23/21 01:10:11,-21
12/23/21 01:11:11,-44
12/23/21 01:12:12,-1
12/23/21 01:13:12,0
12/23/21 01:14:12,23
12/23/21 01:15:13,0
12/23/21 01:16:14,8
12/23/21 01:17:14,5
12/23/21 01:18:14,1
12/23/21 01:19:14,-10
12/23/21 01:20:14,3
12/23/21 01:21:14,-29
12/23/21 01:22:14,-41
12/23/21 01:23:15,0
12/23/21 01:24:15,0
12/23/21 01:25:15,17
12/23/21 01:26:15,17
12/23/21 01:27:15,-4
12/23/21 01:28:15,0
12/23/21 01:29:16,17
12/23/21 01:30:19,17
12/23/21 01:31:19,-71
12/23/21 01:32:19,40
12/23/21 01:33:19,-14
12/23/21 01:34:19,-14
12/23/21 01:35:19,33
12/23/21 01:36:19,-16
12/23/21 01:37:20,-22
12/23/21 01:38:20,-48
12/23/21 01:39:20,-15
12/23/21 01:40:20,52
12/23/21 01:41:20,0
12/23/21 01:42:20,3
12/23/21 01:43:20,-38
12/23/21 01:44:21,0
12/23/21 01:45:22,0
12/23/21 01:46:22,-12
12/23/21 01:47:23,-8
12/23/21 01:48:23,26
12/23/21 01:49:23,24
12/23/21 01:50:23,-15
12/23/21 01:51:23,-15
12/23/21 01:52:23,13
12/23/21 01:53:24,-8
12/23/21 01:54:24,-8
12/23/21 01:55:24,-10
12/23/21 01:56:24,30
12/23/21 01:57:24,16
12/23/21 01:58:24,0
12/23/21 01:59:24,19
12/23/21 02:00:26,0
12/23/21 02:01:26,-5
12/23/21 02:02:26,20
12/23/21 02:03:26,0
12/23/21 02:04:26,26
12/23/21 02:05:26,-13
12/23/21 02:06:26,21
12/23/21 02:07:27,9
12/23/21 02:08:27,34
12/23/21 02:09:27,-34
12/23/21 02:10:27,-5
12/23/21 02:11:27,3
12/23/21 02:12:27,-16
12/23/21 02:13:28,0
12/23/21 02:14:28,7
12/23/21 02:15:30,77
12/23/21 02:16:30,64
12/23/21 02:17:30,19
12/23/21 02:18:30,-7
12/23/21 02:19:30,-30
12/23/21 02:20:30,-53
12/23/21 02:21:31,-59
12/23/21 02:22:31,-28
12/23/21 02:23:31,1
12/23/21 02:24:31,-5
12/23/21 02:25:31,-46
12/23/21 02:26:31,-45
12/23/21 02:27:31,-1
12/23/21 02:28:32,-2
12/23/21 02:29:32,0
12/23/21 02:30:34,-10
12/23/21 02:31:34,9
12/23/21 02:32:35,-31
12/23/21 02:33:35,-21
12/23/21 02:34:35,-5
12/23/21 02:35:35,4
12/23/21 02:36:35,0
12/23/21 02:37:35,2
12/23/21 02:38:36,-2
12/23/21 02:39:36,-29
12/23/21 02:40:36,3
12/23/21 02:41:36,-5
12/23/21 02:42:36,-39
12/23/21 02:43:36,-1
12/23/21 02:44:36,-4
12/23/21 02:45:38,5
12/23/21 02:46:39,-5
12/23/21 02:47:39,0
12/23/21 02:48:39,-3
12/23/21 02:49:39,-15
12/23/21 02:50:39,13
12/23/21 02:51:39,-18
12/23/21 02:52:39,1
12/23/21 02:53:40,0
12/23/21 02:54:40,-3
12/23/21 02:55:40,-2
12/23/21 02:56:40,2
12/23/21 02:57:40,-1
12/23/21 02:58:40,13
12/23/21 02:59:40,-9
12/23/21 03:00:42,17
12/23/21 03:01:42,-1
12/23/21 03:02:43,-1
12/23/21 03:03:43,-1
12/23/21 03:04:43,-52
12/23/21 03:05:43,0
12/23/21 03:06:43,20
12/23/21 03:07:43,19
12/23/21 03:08:44,0
12/23/21 03:09:44,-30
12/23/21 03:10:44,3
12/23/21 03:11:44,0
12/23/21 03:12:44,-8
12/23/21 03:13:44,2
12/23/21 03:14:44,27
12/23/21 03:15:46,43
12/23/21 03:16:46,24
12/23/21 03:17:46,-68
12/23/21 03:18:46,0
12/23/21 03:19:46,-4
12/23/21 03:20:47,4
12/23/21 03:21:47,31
12/23/21 03:22:47,39
12/23/21 03:23:47,0
12/23/21 03:24:47,-12
12/23/21 03:25:47,7
12/23/21 03:26:47,17
12/23/21 03:27:48,-21
12/23/21 03:28:48,2
12/23/21 03:29:48,-39
12/23/21 03:30:49,-6
12/23/21 03:31:49,-8
12/23/21 03:32:49,15
12/23/21 03:33:49,7
12/23/21 03:34:49,0
12/23/21 03:35:49,1
12/23/21 03:36:50,26
12/23/21 03:37:50,1
12/23/21 03:38:50,26
12/23/21 03:39:50,-27
12/23/21 03:40:50,-24
12/23/21 03:41:50,29
12/23/21 03:42:51,49
12/23/21 03:43:51,35
12/23/21 03:44:51,31
12/23/21 03:45:53,-52
12/23/21 03:46:54,-14
12/23/21 03:47:54,26
12/23/21 03:48:54,13
12/23/21 03:49:54,-8
12/23/21 03:50:54,13
12/23/21 03:51:54,0
12/23/21 03:52:54,0
12/23/21 03:53:55,4
12/23/21 03:54:55,13
12/23/21 03:55:55,36
12/23/21 03:56:55,56
12/23/21 03:57:55,32
12/23/21 03:58:55,4
12/23/21 03:59:55,16
12/23/21 04:00:58,11
12/23/21 04:01:58,0
12/23/21 04:02:58,0
12/23/21 04:03:59,-23
12/23/21 04:04:59,0
12/23/21 04:05:59,4
12/23/21 04:06:59,83
12/23/21 04:07:59,10
12/23/21 04:08:59,-13
12/23/21 04:09:59,-6
12/23/21 04:11:00,-1
12/23/21 04:12:00,-10
12/23/21 04:13:00,-30
12/23/21 04:14:00,-1
12/23/21 04:15:00,-8
12/23/21 04:16:01,8
12/23/21 04:17:01,60
12/23/21 04:18:01,10
12/23/21 04:19:01,46
12/23/21 04:20:01,-8
12/23/21 04:21:02,0
12/23/21 04:22:02,7
12/23/21 04:23:02,7
12/23/21 04:24:02,0
12/23/21 04:25:02,0
12/23/21 04:26:02,0
12/23/21 04:27:02,2
12/23/21 04:28:03,1
12/23/21 04:29:03,0
12/23/21 04:30:03,4
12/23/21 04:31:06,0
12/23/21 04:32:06,4
12/23/21 04:33:06,21
12/23/21 04:34:06,5
12/23/21 04:35:06,15
12/23/21 04:36:06,60
12/23/21 04:37:06,12
12/23/21 04:38:07,8
12/23/21 04:39:07,-39
12/23/21 04:40:07,2
12/23/21 04:41:07,2
12/23/21 04:42:07,-1
12/23/21 04:43:07,4
12/23/21 04:44:07,16
12/23/21 04:45:08,-19
12/23/21 04:46:09,-4
12/23/21 04:47:10,-2
12/23/21 04:48:10,-47
12/23/21 04:49:10,-21
12/23/21 04:50:10,17
12/23/21 04:51:10,5
12/23/21 04:52:10,-53
12/23/21 04:53:10,-27
12/23/21 04:54:11,0
12/23/21 04:55:11,25
12/23/21 04:56:11,13
12/23/21 04:57:11,-2
12/23/21 04:58:11,4
12/23/21 04:59:11,0
12/23/21 05:00:11,1
12/23/21 05:01:14,-7
12/23/21 05:02:14,5
12/23/21 05:03:14,-25
12/23/21 05:04:15,-8
12/23/21 05:05:15,-29
12/23/21 05:06:15,0
12/23/21 05:07:15,-4
12/23/21 05:08:15,0
12/23/21 05:09:15,-42
12/23/21 05:10:16,-29
12/23/21 05:11:16,7
12/23/21 05:12:16,24
12/23/21 05:13:16,-6
12/23/21 05:14:16,2
12/23/21 05:15:16,3
12/23/21 05:16:17,-34
12/23/21 05:17:17,18
12/23/21 05:18:17,-75
12/23/21 05:19:17,-21
12/23/21 05:20:17,27
12/23/21 05:21:17,14
12/23/21 05:22:18,0
12/23/21 05:23:18,0
12/23/21 05:24:18,0
12/23/21 05:25:18,-39
12/23/21 05:26:18,-8
12/23/21 05:27:18,-4
12/23/21 05:28:18,30
12/23/21 05:29:19,12
12/23/21 05:30:19,30
12/23/21 05:31:20,0
12/23/21 05:32:20,-7
12/23/21 05:33:20,-7
12/23/21 05:34:20,0
12/23/21 05:35:21,0
12/23/21 05:36:21,-72
12/23/21 05:37:21,12
12/23/21 05:38:21,-34
12/23/21 05:39:21,17
12/23/21 05:40:21,-13
12/23/21 05:41:21,-39
12/23/21 05:42:22,-5
12/23/21 05:43:22,-4
12/23/21 05:44:22,0
12/23/21 05:45:22,0
12/23/21 05:46:24,13
12/23/21 05:47:24,0
12/23/21 05:48:25,3
12/23/21 05:49:25,0
12/23/21 05:50:25,2
12/23/21 05:51:25,-29
12/23/21 05:52:25,-30
12/23/21 05:53:25,30
12/23/21 05:54:25,-13
12/23/21 05:55:26,-43
12/23/21 05:56:26,-17
12/23/21 05:57:26,-4
12/23/21 05:58:26,0
12/23/21 05:59:26,-9
12/23/21 06:00:26,-1
12/23/21 06:01:28,-12
12/23/21 06:02:28,-1
12/23/21 06:03:28,-8
12/23/21 06:04:28,12
12/23/21 06:05:28,-13
12/23/21 06:06:28,0
12/23/21 06:07:28,0
12/23/21 06:08:29,0
12/23/21 06:09:29,-3
12/23/21 06:10:29,0
12/23/21 06:11:29,23
12/23/21 06:12:29,-4
12/23/21 06:13:29,12
12/23/21 06:14:30,-7
12/23/21 06:15:30,-1
12/23/21 06:16:31,0
12/23/21 06:17:32,0
12/23/21 06:18:32,0
12/23/21 06:19:32,4
12/23/21 06:20:32,23
12/23/21 06:21:32,0
12/23/21 06:22:32,0
12/23/21 06:23:33,-17
12/23/21 06:24:33,0
12/23/21 06:25:33,1
12/23/21 06:26:33,-8
12/23/21 06:27:33,14
12/23/21 06:28:33,-64
12/23/21 06:29:33,23
12/23/21 06:30:34,4
12/23/21 06:31:36,-1
12/23/21 06:32:36,10
12/23/21 06:33:36,2
12/23/21 06:34:37,-38
12/23/21 06:35:37,0
12/23/21 06:36:39,0
12/23/21 06:37:39,-44
12/23/21 06:38:39,-1
12/23/21 06:39:40,0
12/23/21 06:40:40,-1
12/23/21 06:41:40,4
12/23/21 06:42:40,-28
12/23/21 06:43:40,4
12/23/21 06:44:40,0
12/23/21 06:45:40,-1
12/23/21 06:46:41,-30
12/23/21 06:47:41,0
12/23/21 06:48:41,0
12/23/21 06:49:41,-5
12/23/21 06:50:41,-40
12/23/21 06:51:41,75
12/23/21 06:52:42,38
12/23/21 06:53:42,33
12/23/21 06:54:42,0
12/23/21 06:55:42,-32
12/23/21 06:56:42,-4
12/23/21 06:57:42,-3
12/23/21 06:58:42,-2
12/23/21 06:59:43,-20
12/23/21 07:00:43,-43
12/23/21 07:01:43,18
12/23/21 07:02:43,-7
12/23/21 07:03:43,2
12/23/21 07:04:43,13
12/23/21 07:05:43,-16
12/23/21 07:06:44,-29
12/23/21 07:07:44,0
12/23/21 07:08:44,-34
12/23/21 07:09:44,0
12/23/21 07:10:44,0
12/23/21 07:11:44,0
12/23/21 07:12:45,0
12/23/21 07:13:45,0
12/23/21 07:14:45,0
12/23/21 07:15:45,0
12/23/21 07:16:45,-9
12/23/21 07:17:45,8
12/23/21 07:18:45,31
12/23/21 07:19:46,-21
12/23/21 07:20:46,0
12/23/21 07:21:46,-4
12/23/21 07:22:46,14
12/23/21 07:23:46,-2
12/23/21 07:24:46,32
12/23/21 07:25:46,8
