timestamp,Infrared to Red Signal Ratio
12/02/20 00:00:32,-14
12/02/20 00:01:32,0
12/02/20 00:02:33,-3
12/02/20 00:03:33,9
12/02/20 00:04:33,-8
12/02/20 00:05:33,13
12/02/20 00:06:35,1
12/02/20 00:07:35,0
12/02/20 00:08:35,-5
12/02/20 00:09:35,-7
12/02/20 00:10:35,0
12/02/20 00:11:35,0
12/02/20 00:12:35,0
12/02/20 00:13:36,-3
12/02/20 00:14:36,-27
12/02/20 00:15:36,-10
12/02/20 00:16:36,0
12/02/20 00:17:36,-4
12/02/20 00:18:36,4
12/02/20 00:19:37,0
12/02/20 00:20:37,-21
12/02/20 00:21:37,9
12/02/20 00:22:37,-1
12/02/20 00:23:37,-1
12/02/20 00:24:37,9
12/02/20 00:25:37,-7
12/02/20 00:26:37,0
12/02/20 00:27:38,-2
12/02/20 00:28:38,-41
12/02/20 00:29:38,-8
12/02/20 00:30:38,-1
12/02/20 00:31:38,1
12/02/20 00:32:38,4
12/02/20 00:33:38,0
12/02/20 00:34:39,7
12/02/20 00:35:39,21
12/02/20 00:36:41,0
12/02/20 00:37:42,2
12/02/20 00:38:42,3
12/02/20 00:39:42,21
12/02/20 00:40:42,-17
12/02/20 00:41:42,6
12/02/20 00:42:42,10
12/02/20 00:43:42,4
12/02/20 00:44:43,0
12/02/20 00:45:43,0
12/02/20 00:46:43,11
12/02/20 00:47:43,-1
12/02/20 00:48:43,0
12/02/20 00:49:43,0
12/02/20 00:50:44,2
12/02/20 00:51:46,3
12/02/20 00:52:46,0
12/02/20 00:53:46,-1
12/02/20 00:54:46,0
12/02/20 00:55:46,6
12/02/20 00:56:46,-2
12/02/20 00:57:46,0
12/02/20 00:58:47,-1
12/02/20 00:59:47,-1
12/02/20 01:00:47,1
12/02/20 01:01:47,-1
12/02/20 01:02:47,4
12/02/20 01:03:47,-6
12/02/20 01:04:48,0
12/02/20 01:05:48,25
12/02/20 01:06:50,11
12/02/20 01:07:50,6
12/02/20 01:08:50,1
12/02/20 01:09:50,1
12/02/20 01:10:50,68
12/02/20 01:11:50,0
12/02/20 01:12:50,-9
12/02/20 01:13:51,-56
12/02/20 01:14:51,3
12/02/20 01:15:51,-2
12/02/20 01:16:51,-11
12/02/20 01:17:51,0
12/02/20 01:18:51,-1
12/02/20 01:19:51,4
12/02/20 01:20:52,-3
12/02/20 01:21:54,3
12/02/20 01:22:54,-3
12/02/20 01:23:54,-3
12/02/20 01:24:55,0
12/02/20 01:25:55,-3
12/02/20 01:26:55,1
12/02/20 01:27:55,-4
12/02/20 01:28:55,12
12/02/20 01:29:55,3
12/02/20 01:30:55,-7
12/02/20 01:31:56,2
12/02/20 01:32:56,-64
12/02/20 01:33:56,5
12/02/20 01:34:56,0
12/02/20 01:35:56,1
12/02/20 01:36:56,10
12/02/20 01:37:58,-29
12/02/20 01:38:58,-1
12/02/20 01:39:58,-3
12/02/20 01:40:58,-1
12/02/20 01:41:58,-8
12/02/20 01:42:59,4
12/02/20 01:43:59,-2
12/02/20 01:44:59,0
12/02/20 01:45:59,-11
12/02/20 01:46:59,0
12/02/20 01:47:59,0
12/02/20 01:48:59,-2
12/02/20 01:50:00,-1
12/02/20 01:51:00,3
12/02/20 01:52:00,0
12/02/20 01:53:02,-2
12/02/20 01:54:02,-16
12/02/20 01:55:02,-13
12/02/20 01:56:03,-1
12/02/20 01:57:03,-2
12/02/20 01:58:03,-3
12/02/20 01:59:03,-5
12/02/20 02:00:03,3
12/02/20 02:01:03,-21
12/02/20 02:02:03,-3
12/02/20 02:03:04,-1
12/02/20 02:04:04,0
12/02/20 02:05:04,26
12/02/20 02:06:04,18
12/02/20 02:07:04,-14
12/02/20 02:08:06,-1
12/02/20 02:09:06,-8
12/02/20 02:10:07,23
12/02/20 02:11:07,-9
12/02/20 02:12:07,70
12/02/20 02:13:07,3
12/02/20 02:14:07,5
12/02/20 02:15:07,0
12/02/20 02:16:07,-1
12/02/20 02:17:08,-2
12/02/20 02:18:08,25
12/02/20 02:19:08,11
12/02/20 02:20:08,8
12/02/20 02:21:08,12
12/02/20 02:22:08,23
12/02/20 02:23:10,12
12/02/20 02:24:10,-1
12/02/20 02:25:11,1
12/02/20 02:26:11,2
12/02/20 02:27:11,-2
12/02/20 02:28:11,-26
12/02/20 02:29:11,0
12/02/20 02:30:11,-4
12/02/20 02:31:11,-6
12/02/20 02:32:12,3
12/02/20 02:33:12,0
12/02/20 02:34:12,-7
12/02/20 02:35:12,2
12/02/20 02:36:12,-7
12/02/20 02:37:12,14
12/02/20 02:38:14,-1
12/02/20 02:39:14,-12
12/02/20 02:40:14,10
12/02/20 02:41:14,8
12/02/20 02:42:14,18
12/02/20 02:43:15,7
12/02/20 02:44:15,-2
12/02/20 02:45:15,-4
12/02/20 02:46:15,-8
12/02/20 02:47:15,-1
12/02/20 02:48:15,11
12/02/20 02:49:15,1
12/02/20 02:50:16,-9
12/02/20 02:51:16,-6
12/02/20 02:52:16,1
12/02/20 02:53:16,-1
12/02/20 02:54:17,-1
12/02/20 02:55:17,1
12/02/20 02:56:17,0
12/02/20 02:57:18,0
12/02/20 02:58:18,-1
12/02/20 02:59:18,-4
12/02/20 03:00:18,-4
12/02/20 03:01:18,0
12/02/20 03:02:18,-1
12/02/20 03:03:18,-1
12/02/20 03:04:19,1
12/02/20 03:05:19,-7
12/02/20 03:06:19,-6
12/02/20 03:07:19,0
12/02/20 03:08:19,-3
12/02/20 03:09:20,-1
12/02/20 03:10:20,-1
12/02/20 03:11:20,2
12/02/20 03:12:20,-2
12/02/20 03:13:20,0
12/02/20 03:14:21,0
12/02/20 03:15:21,-5
12/02/20 03:16:21,0
12/02/20 03:17:21,-1
12/02/20 03:18:21,-1
12/02/20 03:19:21,0
12/02/20 03:20:22,6
12/02/20 03:21:22,-10
12/02/20 03:22:22,27
12/02/20 03:23:22,-11
12/02/20 03:24:23,0
12/02/20 03:25:24,-7
12/02/20 03:26:24,9
12/02/20 03:27:24,9
12/02/20 03:28:24,-2
12/02/20 03:29:24,-9
12/02/20 03:30:24,-1
12/02/20 03:31:24,12
12/02/20 03:32:25,4
12/02/20 03:33:25,-2
12/02/20 03:34:25,1
12/02/20 03:35:25,-6
12/02/20 03:36:25,0
12/02/20 03:37:25,-2
12/02/20 03:38:25,0
12/02/20 03:39:27,-7
12/02/20 03:40:27,-2
12/02/20 03:41:27,0
12/02/20 03:42:27,-1
12/02/20 03:43:27,0
12/02/20 03:44:27,1
12/02/20 03:45:28,-1
12/02/20 03:46:28,0
12/02/20 03:47:28,-4
12/02/20 03:48:28,0
12/02/20 03:49:28,1
12/02/20 03:50:28,0
12/02/20 03:51:29,-1
12/02/20 03:52:29,-2
12/02/20 03:53:29,-7
12/02/20 03:54:29,0
12/02/20 03:55:30,-3
12/02/20 03:56:30,0
12/02/20 03:57:30,0
12/02/20 03:58:30,-1
12/02/20 03:59:31,-5
12/02/20 04:00:31,-7
12/02/20 04:01:31,-1
12/02/20 04:02:31,-1
12/02/20 04:03:31,-1
12/02/20 04:04:31,5
12/02/20 04:05:31,0
12/02/20 04:06:32,0
12/02/20 04:07:32,0
12/02/20 04:08:32,0
12/02/20 04:09:32,0
12/02/20 04:10:32,0
12/02/20 04:11:32,0
12/02/20 04:12:32,-1
12/02/20 04:13:32,0
12/02/20 04:14:32,-1
12/02/20 04:15:33,48
12/02/20 04:16:33,-15
12/02/20 04:17:33,5
12/02/20 04:18:33,5
12/02/20 04:19:33,20
12/02/20 04:20:33,2
12/02/20 04:21:34,0
12/02/20 04:22:34,0
12/02/20 04:23:34,14
12/02/20 04:24:34,0
12/02/20 04:25:36,-1
12/02/20 04:26:36,0
12/02/20 04:27:36,-1
12/02/20 04:28:37,-10
12/02/20 04:29:37,-1
12/02/20 04:30:37,0
12/02/20 04:31:37,60
12/02/20 04:32:37,1
12/02/20 04:33:37,6
12/02/20 04:34:38,-7
12/02/20 04:35:38,-1
12/02/20 04:36:38,-2
12/02/20 04:37:38,-2
12/02/20 04:38:38,-12
12/02/20 04:39:38,-1
12/02/20 04:40:41,1
12/02/20 04:41:41,-3
12/02/20 04:42:41,0
12/02/20 04:43:41,0
12/02/20 04:44:42,0
12/02/20 04:45:42,0
12/02/20 04:46:42,3
12/02/20 04:47:42,-14
12/02/20 04:48:42,-24
12/02/20 04:49:42,2
12/02/20 04:50:42,-2
12/02/20 04:51:43,-36
12/02/20 04:52:43,-33
12/02/20 04:53:43,-17
12/02/20 04:54:43,6
12/02/20 04:55:45,3
12/02/20 04:56:45,0
12/02/20 04:57:45,-1
12/02/20 04:58:45,0
12/02/20 04:59:45,2
12/02/20 05:00:45,3
12/02/20 05:01:46,13
12/02/20 05:02:46,10
12/02/20 05:03:46,-3
12/02/20 05:04:46,2
12/02/20 05:05:46,5
12/02/20 05:06:46,4
12/02/20 05:07:46,-1
12/02/20 05:08:47,0
12/02/20 05:09:47,6
12/02/20 05:10:47,9
12/02/20 05:11:48,1
12/02/20 05:12:49,-8
12/02/20 05:13:49,-2
12/02/20 05:14:49,-1
12/02/20 05:15:49,-1
12/02/20 05:16:49,0
12/02/20 05:17:49,-1
12/02/20 05:18:49,-3
12/02/20 05:19:50,0
12/02/20 05:20:50,0
12/02/20 05:21:50,-1
12/02/20 05:22:50,0
12/02/20 05:23:50,-1
12/02/20 05:24:50,0
12/02/20 05:25:50,0
12/02/20 05:26:53,-2
12/02/20 05:27:53,0
12/02/20 05:28:54,6
12/02/20 05:29:54,0
12/02/20 05:30:54,0
12/02/20 05:31:54,0
12/02/20 05:32:54,-17
12/02/20 05:33:54,8
12/02/20 05:34:54,33
12/02/20 05:35:55,7
12/02/20 05:36:55,1
12/02/20 05:37:55,18
12/02/20 05:38:55,0
12/02/20 05:39:55,5
12/02/20 05:40:55,5
12/02/20 05:41:57,0
12/02/20 05:42:58,-3
12/02/20 05:43:58,-1
12/02/20 05:44:58,-9
12/02/20 05:45:58,0
12/02/20 05:46:58,-2
12/02/20 05:47:58,-8
12/02/20 05:48:58,-10
12/02/20 05:49:59,5
12/02/20 05:50:59,-5
12/02/20 05:51:59,2
12/02/20 05:52:59,-15
12/02/20 05:53:59,-13
12/02/20 05:54:59,0
12/02/20 05:55:59,-8
12/02/20 05:57:00,-30
12/02/20 05:58:00,-36
12/02/20 05:59:00,-27
12/02/20 06:00:00,1
12/02/20 06:01:01,-4
12/02/20 06:02:01,2
12/02/20 06:03:01,-1
12/02/20 06:04:01,-7
12/02/20 06:05:01,36
12/02/20 06:06:01,2
12/02/20 06:07:01,-4
12/02/20 06:08:02,-3
12/02/20 06:09:02,0
