timestamp,Infrared to Red Signal Ratio
09/24/20 00:00:11,-18
09/24/20 00:01:11,8
09/24/20 00:02:11,4
09/24/20 00:03:12,0
09/24/20 00:04:12,1
09/24/20 00:05:12,27
09/24/20 00:06:12,3
09/24/20 00:07:12,-1
09/24/20 00:08:13,-10
09/24/20 00:09:13,-1
09/24/20 00:10:13,2
09/24/20 00:11:13,-1
09/24/20 00:12:13,7
09/24/20 00:13:13,3
09/24/20 00:14:13,2
09/24/20 00:15:14,5
09/24/20 00:16:14,0
09/24/20 00:17:14,0
09/24/20 00:18:14,-1
09/24/20 00:19:14,-11
09/24/20 00:20:14,22
09/24/20 00:21:14,-5
09/24/20 00:22:14,-1
09/24/20 00:23:15,0
09/24/20 00:24:15,-14
09/24/20 00:25:15,-10
09/24/20 00:26:15,-2
09/24/20 00:27:15,-7
09/24/20 00:28:15,0
09/24/20 00:29:16,1
09/24/20 00:30:16,-2
09/24/20 00:31:16,-9
09/24/20 00:32:16,-2
09/24/20 00:33:16,-2
09/24/20 00:34:17,-2
09/24/20 00:35:17,0
09/24/20 00:36:17,1
09/24/20 00:37:17,0
09/24/20 00:38:17,0
09/24/20 00:39:17,1
09/24/20 00:40:17,-4
09/24/20 00:41:18,3
09/24/20 00:42:18,-1
09/24/20 00:43:18,0
09/24/20 00:44:18,0
09/24/20 00:45:18,0
09/24/20 00:46:18,13
09/24/20 00:47:19,-32
09/24/20 00:48:19,-1
09/24/20 00:49:19,-12
09/24/20 00:50:19,1
09/24/20 00:51:19,-61
09/24/20 00:52:19,0
09/24/20 00:53:19,0
09/24/20 00:54:20,1
09/24/20 00:55:20,-12
09/24/20 00:56:20,-5
09/24/20 00:57:20,-1
09/24/20 00:58:20,8
09/24/20 00:59:20,-13
09/24/20 01:00:20,-3
09/24/20 01:01:21,2
09/24/20 01:02:21,-1
09/24/20 01:03:21,0
09/24/20 01:04:21,-10
09/24/20 01:05:21,-37
09/24/20 01:06:21,0
09/24/20 01:07:21,-10
09/24/20 01:08:21,12
09/24/20 01:09:22,-17
09/24/20 01:10:22,0
09/24/20 01:11:22,0
09/24/20 01:12:22,53
09/24/20 01:13:22,-11
09/24/20 01:14:22,-21
09/24/20 01:15:23,28
09/24/20 01:16:23,-2
09/24/20 01:17:23,-9
09/24/20 01:18:23,0
09/24/20 01:19:23,-1
09/24/20 01:20:24,-1
09/24/20 01:21:25,30
09/24/20 01:22:25,5
09/24/20 01:23:25,0
09/24/20 01:24:25,-1
09/24/20 01:25:25,-35
09/24/20 01:26:26,-1
09/24/20 01:27:26,-1
09/24/20 01:28:26,-39
09/24/20 01:29:26,-4
