timestamp,Infrared to Red Signal Ratio
06/11/21 00:00:16,-1
06/11/21 00:01:17,-3
06/11/21 00:02:17,0
06/11/21 00:03:17,28
06/11/21 00:04:17,-52
06/11/21 00:05:17,6
06/11/21 00:06:17,-22
06/11/21 00:07:18,0
06/11/21 00:08:16,57
06/11/21 00:09:16,-7
06/11/21 00:10:16,-25
06/11/21 00:11:16,4
06/11/21 00:12:16,4
06/11/21 00:13:16,10
06/11/21 00:14:17,-11
06/11/21 00:15:17,13
06/11/21 00:16:17,0
06/11/21 00:17:17,0
06/11/21 00:18:17,0
06/11/21 00:19:17,2
06/11/21 00:20:18,61
06/11/21 00:21:18,0
06/11/21 00:22:18,20
06/11/21 00:23:20,0
06/11/21 00:24:20,23
06/11/21 00:25:21,0
06/11/21 00:26:21,-7
06/11/21 00:27:21,0
06/11/21 00:28:21,9
06/11/21 00:29:21,0
06/11/21 00:30:21,37
06/11/21 00:31:22,34
06/11/21 00:32:22,6
06/11/21 00:33:22,-17
06/11/21 00:34:22,-5
06/11/21 00:35:22,13
06/11/21 00:36:22,-1
06/11/21 00:37:22,30
06/11/21 00:38:23,13
06/11/21 00:39:23,-35
06/11/21 00:40:23,-24
06/11/21 00:41:23,-1
06/11/21 00:42:23,-3
06/11/21 00:43:24,-47
06/11/21 00:44:24,37
06/11/21 00:45:24,65
06/11/21 00:46:24,-16
06/11/21 00:47:24,0
06/11/21 00:48:24,-42
06/11/21 00:49:25,-3
06/11/21 00:50:25,-20
06/11/21 00:51:25,16
06/11/21 00:52:25,0
06/11/21 00:53:25,0
06/11/21 00:54:25,0
06/11/21 00:55:26,-2
06/11/21 00:56:26,-4
06/11/21 00:57:26,-13
06/11/21 00:58:26,22
06/11/21 00:59:26,-1
06/11/21 01:00:26,0
06/11/21 01:01:27,0
06/11/21 01:02:27,-18
06/11/21 01:03:27,0
06/11/21 01:04:27,42
06/11/21 01:05:27,5
06/11/21 01:06:27,7
06/11/21 01:07:27,-24
06/11/21 01:08:27,0
06/11/21 01:09:27,8
06/11/21 01:10:28,-37
06/11/21 01:11:28,0
06/11/21 01:12:28,0
06/11/21 01:13:28,-30
06/11/21 01:14:28,0
06/11/21 01:15:28,0
