DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2021-08-12T00:00:00,2021-08-12T11:21:47.934,87,28,30,23,30,36,40,READY,false
2021-08-13T00:00:00,2021-08-13T12:13:07.924,86,26,30,25,30,35,40,READY,false
2021-08-14T00:00:00,2021-08-14T10:40:41.934,76,21,30,22,30,33,40,READY,false
2021-08-15T00:00:00,2021-08-15T13:24:35.909,75,23,30,22,30,30,40,READY,false
2021-08-16T00:00:00,2021-08-16T17:32:46.481,80,21,30,27,30,32,40,READY,false
2021-08-17T00:00:00,2021-08-17T10:27:00.4,82,28,30,25,30,29,40,READY,false
2021-08-18T00:00:00,2021-08-18T11:31:47.982,88,27,30,25,30,36,40,READY,false
2021-08-19T00:00:00,2021-08-19T11:26:06.203,83,29,30,16,30,38,40,READY,false
2021-08-20T00:00:00,2021-08-20T13:02:00.85,89,26,30,26,30,37,40,READY,false
2021-08-27T00:00:00,2021-08-27T11:29:06.966,0,0,0,0,0,0,0,NO_DATA,true
2021-08-28T00:00:00,2021-08-28T12:27:09.028,63,21,30,24,30,18,40,READY,false
2021-08-29T00:00:00,2021-08-29T12:20:31.266,61,17,30,23,30,21,40,READY,false
2021-08-30T00:00:00,2021-08-30T11:31:47.364,77,28,30,27,30,22,40,READY,false
2021-08-31T00:00:00,2021-08-31T11:49:14.345,69,23,30,25,30,21,40,READY,false
2021-09-01T00:00:00,2021-09-01T11:11:12.15,75,24,30,21,30,30,40,READY,false
2021-09-02T00:00:00,2021-09-02T10:20:46.221,80,23,30,22,30,35,40,READY,false
2021-09-04T00:00:00,2021-09-04T12:19:55.365,0,0,0,0,0,0,0,NO_DATA,true
2021-09-08T00:00:00,2021-09-09T12:06:11.525,0,0,0,0,0,0,0,NO_DATA,true
2021-09-09T00:00:00,2021-09-09T12:06:13.587,68,22,30,25,30,21,40,READY,false
2021-09-10T00:00:00,2021-09-10T11:33:39.56,63,19,30,23,30,21,40,READY,false
2021-09-11T00:00:00,2021-09-11T12:15:44.808,0,0,0,0,0,0,0,NO_DATA,true
2021-09-12T00:00:00,2021-09-12T11:45:54.035,69,25,30,15,30,29,40,READY,false
2021-09-13T00:00:00,2021-09-13T11:00:29.307,71,21,30,22,30,28,40,READY,false
2021-09-14T00:00:00,2021-09-14T11:09:17.187,81,25,30,23,30,33,40,READY,false
2021-09-15T00:00:00,2021-09-15T11:21:19.242,75,21,30,24,30,30,40,READY,false
2021-09-16T00:00:00,2021-09-16T12:30:36.607,79,25,30,18,30,36,40,READY,false
2021-09-17T00:00:00,2021-09-17T12:39:30.204,79,26,30,23,30,30,40,READY,false
2021-09-18T00:00:00,2021-09-18T14:04:23.167,69,19,30,18,30,32,40,READY,false
2021-09-20T00:00:00,2021-09-20T10:55:28.052,0,0,0,0,0,0,0,NO_DATA,true
2021-09-26T00:00:00,2021-09-28T11:08:36.701,0,0,0,0,0,0,0,NO_DATA,true
2021-09-27T00:00:00,2021-09-28T11:08:38.017,68,19,30,24,30,25,40,READY,false
2021-09-28T00:00:00,2021-09-28T11:08:38.071,0,0,0,0,0,0,0,NO_DATA,true
2021-09-29T00:00:00,2021-09-30T15:00:46.319,76,28,30,26,30,22,40,READY,false
2021-09-30T00:00:00,2021-09-30T15:00:50.374,73,26,30,24,30,23,40,READY,false
2021-10-01T00:00:00,2021-10-01T11:34:42.187,0,0,0,0,0,0,0,NO_DATA,true
2021-10-03T00:00:00,2021-10-03T20:39:14.246,0,0,0,0,0,0,0,NO_DATA,true
2021-10-04T00:00:00,2021-10-04T11:51:01.061,82,21,30,25,30,36,40,READY,false
2021-10-05T00:00:00,2021-10-05T11:18:44.225,77,19,30,25,30,33,40,READY,false
2021-10-08T00:00:00,2021-10-14T15:04:05.107,0,0,0,0,0,0,0,NO_DATA,true
2021-10-11T00:00:00,2021-10-14T15:04:05.661,0,0,0,0,0,0,0,NO_DATA,true
2021-10-12T00:00:00,2021-10-14T15:04:05.333,70,21,30,25,30,24,40,READY,false
2021-10-13T00:00:00,2021-10-14T15:04:06.288,72,26,30,25,30,21,40,READY,false
2021-10-14T00:00:00,2021-10-14T15:04:05.915,72,25,30,26,30,21,40,READY,false
2021-10-15T00:00:00,2021-10-17T12:42:05.824,71,23,30,21,30,27,40,READY,false
2021-10-16T00:00:00,2021-10-17T12:42:08.537,0,0,0,0,0,0,0,NO_DATA,true
2021-10-17T00:00:00,2021-10-17T12:42:05.956,66,22,30,16,30,28,40,READY,false
2021-10-18T00:00:00,2021-10-20T01:55:37.159,77,22,30,25,30,30,40,READY,false
2021-10-19T00:00:00,2021-10-20T01:55:34.568,82,25,30,19,30,38,40,READY,false
2021-10-20T00:00:00,2021-10-20T14:21:25.427,84,21,30,25,30,38,40,READY,false
2021-10-21T00:00:00,2021-10-21T12:14:14.418,81,24,30,25,30,32,40,READY,false
2021-10-22T00:00:00,2021-10-22T12:03:56.466,81,23,30,26,30,32,40,READY,false
2021-10-23T00:00:00,2021-10-25T11:42:25.529,82,23,30,25,30,34,40,READY,false
2021-10-24T00:00:00,2021-10-25T11:42:25.265,68,16,30,20,30,32,40,READY,false
2021-10-25T00:00:00,2021-10-25T11:42:26.46,72,22,30,18,30,32,40,READY,false
2021-10-26T00:00:00,2021-10-26T21:58:14.387,76,19,30,25,30,32,40,READY,false
2021-10-27T00:00:00,2021-10-27T11:11:43.446,0,0,0,0,0,0,0,NO_DATA,true
2021-10-28T00:00:00,2021-10-28T12:14:47.944,79,25,30,22,30,32,40,READY,false
2021-10-29T00:00:00,2021-10-31T12:54:22.328,80,26,30,25,30,29,40,READY,false
2021-10-30T00:00:00,2021-10-31T12:54:21.693,72,19,30,17,30,36,40,READY,false
2021-10-31T00:00:00,2021-10-31T12:54:24.194,77,24,30,21,30,32,40,READY,false
2021-11-01T00:00:00,2021-11-07T13:25:54.499,77,24,30,23,30,30,40,READY,false
2021-11-02T00:00:00,2021-11-07T13:25:55.615,70,23,30,17,30,30,40,READY,false
2021-11-03T00:00:00,2021-11-07T13:25:55.171,77,24,30,23,30,30,40,READY,false
2021-11-04T00:00:00,2021-11-07T13:25:55.679,71,22,30,21,30,28,40,READY,false
2021-11-05T00:00:00,2021-11-07T13:25:55.029,67,18,30,21,30,28,40,READY,false
2021-11-06T00:00:00,2021-11-07T13:25:54.912,73,21,30,26,30,26,40,READY,false
2021-11-07T00:00:00,2021-11-07T13:25:55.636,72,21,30,13,30,38,40,READY,false
2021-11-08T00:00:00,2021-11-08T12:14:23.407,88,27,30,23,30,38,40,READY,false
2021-11-09T00:00:00,2021-11-11T14:24:16.335,87,28,30,23,30,36,40,READY,false
2021-11-10T00:00:00,2021-11-11T14:24:16.848,85,27,30,27,30,31,40,READY,false
2021-11-11T00:00:00,2021-11-11T14:24:16.465,78,22,30,23,30,33,40,READY,false
2021-11-12T00:00:00,2021-11-12T21:18:50.038,81,25,30,23,30,33,40,READY,false
2021-11-13T00:00:00,2021-11-13T14:04:24.517,77,22,30,19,30,36,40,READY,false
2021-11-14T00:00:00,2021-11-14T13:26:42.389,73,25,30,14,30,34,40,READY,false
2021-11-15T00:00:00,2021-11-16T19:59:53.654,84,25,30,23,30,36,40,READY,false
2021-11-16T00:00:00,2021-11-16T19:59:53.639,76,21,30,22,30,33,40,READY,false
2021-11-17T00:00:00,2021-11-17T13:01:18.86,81,24,30,27,30,30,40,READY,false
2021-11-18T00:00:00,2021-11-18T12:48:31.42,73,19,30,24,30,30,40,READY,false
2021-11-19T00:00:00,2021-11-19T13:28:47.89,72,16,30,25,30,31,40,READY,false
2021-11-20T00:00:00,2021-11-20T13:36:19.346,72,23,30,17,30,32,40,READY,false
2021-11-21T00:00:00,2021-11-21T13:34:25.315,83,26,30,23,30,34,40,READY,false
2021-11-22T00:00:00,2021-11-22T12:53:49.466,86,28,30,23,30,35,40,READY,false
2021-11-23T00:00:00,2021-11-23T12:43:32.941,76,20,30,26,30,30,40,READY,false
2021-11-24T00:00:00,2021-11-24T12:35:14.486,75,21,30,25,30,29,40,READY,false
2021-11-25T00:00:00,2021-11-25T19:53:26.324,74,19,30,26,30,29,40,READY,false
2021-11-26T00:00:00,2021-11-26T14:16:20.389,70,22,30,19,30,29,40,READY,false
2021-11-27T00:00:00,2021-11-27T14:32:41.211,74,23,30,24,30,27,40,READY,false
2021-11-29T00:00:00,2021-11-29T12:15:51.089,0,0,0,0,0,0,0,NO_DATA,true
2021-11-30T00:00:00,2021-11-30T13:12:30.812,69,21,30,24,30,24,40,READY,false
2021-12-01T00:00:00,2021-12-03T00:26:43.056,69,25,30,22,30,22,40,READY,false
2021-12-02T00:00:00,2021-12-03T00:26:43.334,74,21,30,25,30,28,40,READY,false
2021-12-03T00:00:00,2021-12-03T12:41:05.486,76,22,30,28,30,26,40,READY,false
2021-12-04T00:00:00,2021-12-04T12:09:28.338,76,26,30,21,30,29,40,READY,false
2021-12-05T00:00:00,2021-12-06T12:03:18.176,78,26,30,16,30,36,40,READY,false
2021-12-06T00:00:00,2021-12-06T12:03:17.111,85,25,30,24,30,36,40,READY,false
2021-12-07T00:00:00,2021-12-07T12:57:45.565,80,22,30,25,30,33,40,READY,false
2021-12-08T00:00:00,2021-12-08T12:26:11.432,80,24,30,25,30,31,40,READY,false
2021-12-09T00:00:00,2021-12-09T12:20:30.461,76,22,30,21,30,33,40,READY,false
2021-12-10T00:00:00,2021-12-11T13:55:46.46,72,19,30,16,30,37,40,READY,false
2021-12-11T00:00:00,2021-12-11T13:55:46.103,77,21,30,24,30,32,40,READY,false
2021-12-12T00:00:00,2021-12-13T12:05:18.099,0,0,0,0,0,0,0,NO_DATA,true
2021-12-13T00:00:00,2021-12-13T12:05:17.087,85,28,30,25,30,32,40,READY,false
2021-12-14T00:00:00,2021-12-15T12:15:50.242,0,0,0,0,0,0,0,NO_DATA,true
2021-12-15T00:00:00,2021-12-15T12:15:49.881,0,0,0,0,0,0,0,NO_DATA,true
2021-12-16T00:00:00,2021-12-16T13:00:46.225,75,21,30,26,30,28,40,READY,false
2021-12-17T00:00:00,2021-12-17T14:09:10.539,74,24,30,20,30,30,40,READY,false
2021-12-18T00:00:00,2021-12-18T12:47:56.796,75,21,30,21,30,33,40,READY,false
2021-12-20T00:00:00,2021-12-20T12:31:04.351,0,0,0,0,0,0,0,NO_DATA,true
2021-12-21T00:00:00,2021-12-21T12:21:04.541,0,0,0,0,0,0,0,NO_DATA,true
2021-12-22T00:00:00,2021-12-22T12:21:09.791,75,21,30,25,30,29,40,READY,false
2021-12-23T00:00:00,2021-12-23T12:36:31.994,82,26,30,23,30,33,40,READY,false
2021-12-24T00:00:00,2021-12-24T13:31:43.531,75,21,30,24,30,30,40,READY,false
2021-12-25T00:00:00,2021-12-25T14:23:02.939,68,19,30,16,30,33,40,READY,false
2021-12-28T00:00:00,2021-12-28T13:50:05.894,71,16,30,22,30,33,40,READY,false
2021-12-29T00:00:00,2021-12-29T14:44:00.179,66,17,30,19,30,30,40,READY,false
